都道府県名,陽性者数,検査人数,備考
北海道,190,2296,
青森県,11,180,
岩手県,0,76,
宮城県,13,348,
秋田県,9,349,
山形県,1,369,
福島県,9,264,
茨城県,54,1383,
栃木県,14,657,
群馬県,24,860,
埼玉県,131,1547,
千葉県,192,788,
東京都,779,3806,
神奈川県,181,1099,
新潟県,32,1248,
富山県,8,198,
石川県,24,264,
福井県,40,272,
山梨県,9,625,
長野県,10,667,
岐阜県,39,827,
静岡県,8,1006,
愛知県,198,2917,
三重県,12,598,
滋賀県,14,293,
京都府,91,1398,
大阪府,347,1251,
兵庫県,172,2791,
奈良県,21,359,
和歌山県,21,1571,
鳥取県,0,227,
島根県,0,158,
岡山県,9,390,
広島県,8,1023,4/2時点
山口県,7,354,
徳島県,3,164,
香川県,2,344,
愛媛県,11,350,
高知県,21,454,
福岡県,66,1584,
佐賀県,5,184,
長崎県,7,505,
熊本県,15,1095,
大分県,31,1739,
宮崎県,4,338,
鹿児島県,3,346,
沖縄県,9,430,
合計,2855,39992,
