都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,966,9160,432,24,472,62
青   森,27,767,6,0,21,0
岩    手,0,430,0,0,0,0
宮    城,88,2322,7,0,80,1
秋  田,16,898,1,0,15,0
山    形,69,2481,11,2,58,0
福    島,81,2562,29,-,52,0
茨    城,168,4008,49,2,93,9
栃    木,56,2535,18,5,32,0
群    馬,147,3119,58,2,71,18
埼    玉,970,13327,285,9,642,43
千    葉,885,12793,303,12,542,40
東    京,4987,13640,1890,56,2901,196
神 奈 川,1193,2721,404,34,732,57
新    潟,82,3533,31,0,50,0
富    山,221,2858,101,2,105,15
石    川,283,2354,114,4,150,19
福    井,122,2139,18,2,96,8
山    梨,56,3027,7,1,49,0
長    野,75,2216,25,2,50,-
岐    阜,150,3526,17,1,127,6
静    岡,73,3165,15,2,57,1
愛    知,495,8492,92,4,369,34
三    重,45,2153,10,0,34,1
滋    賀,97,1490,24,1,72,1
京    都,352,5652,88,3,251,13
大    阪,1750,17308,587,50,1101,61
兵    庫,694,9289,148,20,512,34
奈    良,90,2035,20,0,68,2
和 歌 山,63,3392,10,0,49,3
鳥    取,3,1198,2,0,1,0
島    根,24,926,12,1,12,0
岡    山,25,1397,6,-,18,-
広    島,165,6051,74,3,89,2
山    口,37,1557,4,-,33,-
徳    島,5,635,0,0,4,1
香    川,28,1875,7,0,21,0
愛    媛,48,1284,6,0,39,3
高    知,74,1594,6,0,65,3
福    岡,655,11413,153,11,477,24
佐    賀,45,1265,20,0,23,0
長    崎,17,2405,2,0,14,1
熊    本,48,3547,21,2,24,3
大    分,60,3540,5,0,54,1
宮    崎,17,1250,5,0,12,-
鹿 児 島,11,1544,3,0,8,0
沖    縄,142,2535,30,4,106,6
(その他),149,623,6,-,0,-
合計,15854,188031,5162,259,9851,668
