都道府県名,陽性者数,検査人数,%
北海道,966,9160,10.5%
青森,27,767,3.5%
岩手,0,430,0.0%
宮城,88,2322,3.8%
秋田,16,898,1.8%
山形,69,2481,2.8%
福島,81,2562,3.2%
茨城,168,4008,4.2%
栃木,56,2535,2.2%
群馬,147,3119,4.7%
埼玉,970,13327,7.3%
千葉,885,12793,6.9%
東京,4987,13640,36.6%
神奈川,1193,2721,8.5%
新潟,82,3533,2.3%
富山,221,2858,7.7%
石川,283,2354,12.0%
福井,122,2139,5.7%
山梨,56,3027,1.9%
長野,75,2216,3.4%
岐阜,150,3526,4.3%
静岡,73,3165,2.3%
愛知,495,8492,5.8%
三重,45,2153,2.1%
滋賀,97,1490,6.5%
京都,352,5652,6.2%
大阪,1750,17308,10.1%
兵庫,694,9289,7.5%
奈良,90,2035,4.4%
和歌山,63,3392,1.9%
鳥取,3,1198,0.3%
島根,24,926,2.6%
岡山,25,1397,1.8%
広島,165,6051,2.7%
山口,37,1557,2.4%
徳島,5,635,0.8%
香川,28,1875,1.5%
愛媛,48,1284,3.7%
高知,74,1594,4.6%
福岡,655,11413,5.7%
佐賀,45,1265,3.6%
長崎,17,2405,0.7%
熊本,48,3547,1.4%
大分,60,3540,1.7%
宮崎,17,1250,1.4%
鹿児島,11,1544,0.7%
沖縄,142,2535,5.6%
その他,149,623,23.9%
合計,15854,188031,7.9%
