都道府県名,陽性者数 検査人数,,%
北海道,21898,475392,4.6%
青森,1196,28222,4.2%
岩手,763,50349,1.5%
宮城,7270,106300,6.8%
秋田,341,8606,4.0%
山形,1242,40714,3.1%
福島,2830,164797,1.7%
茨城,7160,27838,25.7%
栃木,4954,181633,2.7%
群馬,5309,122018,4.4%
埼玉,34583,690124,5.0%
千葉,30911,505435,6.1%
東京,126794,1859683,6.8%
神奈川,49756,739103,6.7%
新潟,1769,92107,1.9%
富山,1055,44759,2.4%
石川,2073,63854,3.2%
福井,665,39855,1.7%
山梨,1029,33554,3.1%
長野,3250,129448,2.5%
岐阜,5178,169753,3.1%
静岡,5991,265041,2.3%
愛知,28932,496727,5.8%
三重,3034,82920,3.7%
滋賀,3018,94551,3.2%
京都,10323,188293,5.5%
大阪,62046,1168871,5.3%
兵庫,22897,325059,7.0%
奈良,4636,106793,4.3%
和歌山,1589,28952,5.5%
鳥取,308,53747,0.6%
島根,293,18477,1.6%
岡山,2991,84188,3.6%
広島,5293,191990,2.8%
山口,1468,71202,2.1%
徳島,736,34611,2.1%
香川,1001,55390,1.8%
愛媛,1746,46172,3.8%
高知,946,7546,12.5%
福岡,19521,536384,3.6%
佐賀,1288,33945,3.8%
長崎,1674,82450,2.0%
熊本,3551,58822,6.0%
大分,1353,98316,1.4%
宮崎,2025,26120,7.8%
鹿児島,1926,76814,2.5%
沖縄,10866,174924,6.2%
長崎船,149,0,-
合計,509627,9981849,5.1%
