都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,21898,475392,868,18,20271,783
青森,1196,28222,132,0,1044,20
岩手,763,50349,81,1,652,30
宮城,7270,106300,1020,15,6155,43
秋田,341,8606,44,0,288,9
山形,1242,40714,274,3,946,22
福島,2830,164797,283,10,2429,118
茨城,7160,27838,311,7,6720,129
栃木,4954,181633,199,3,4685,70
群馬,5309,122018,218,5,4990,101
埼玉,34583,690124,1517,30,32349,717
千葉,30911,505435,962,15,29355,594
東京,126794,1859683,4054,41,120929,1811
神奈川,49756,739103,1143,27,47814,799
新潟,1769,92107,275,2,1476,18
富山,1055,44759,105,3,921,29
石川,2073,63854,128,4,1877,66
福井,665,39855,72,1,566,27
山梨,1029,33554,40,1,970,19
長野,3250,129448,314,0,2917,47
岐阜,5178,169753,177,3,4872,129
静岡,5991,265041,203,4,5667,121
愛知,28932,496727,1461,8,26867,604
三重,3034,82920,233,7,2808,74
滋賀,3018,94551,214,3,2745,59
京都,10323,188293,639,4,9529,174
大阪,62046,1168871,9522,233,50762,1227
兵庫,22897,325059,2525,82,19765,607
奈良,4636,106793,694,13,3885,57
和歌山,1589,28952,232,31,1312,19
鳥取,308,53747,75,0,221,2
島根,293,18477,7,0,286,0
岡山,2991,84188,166,3,2603,35
広島,5293,191990,95,0,5086,107
山口,1468,71202,43,0,1382,43
徳島,736,34611,183,3,529,24
香川,1001,55390,128,2,857,19
愛媛,1746,46172,302,8,1419,25
高知,946,7546,17,1,910,19
福岡,19521,536384,503,6,18677,341
佐賀,1288,33945,76,0,1218,13
長崎,1674,82450,37,0,1598,39
熊本,3551,58822,25,3,3452,74
大分,1353,98316,39,1,1292,22
宮崎,2025,26120,58,0,1938,22
鹿児島,1926,76814,74,0,1848,28
沖縄,10866,174924,1152,7,9590,130
(その他),149,-,0,-,149,-
合計,509627,9981849,30920,608,468621,9466
