都道府県名,陽性者数 検査人数,,%
北海道,18235,343499,5.3%
青森,790,15767,5.0%
岩手,518,21969,2.4%
宮城,3483,49566,7.0%
秋田,269,6878,3.9%
山形,531,16338,3.3%
福島,1794,94227,1.9%
茨城,5246,24220,21.7%
栃木,3918,114939,3.4%
群馬,4178,82684,5.1%
埼玉,27173,494100,5.5%
千葉,24134,361166,6.7%
東京,105024,1403828,7.5%
神奈川,42720,536389,8.0%
新潟,972,38862,2.5%
富山,883,33203,2.7%
石川,1596,44754,3.6%
福井,528,28785,1.8%
山梨,918,14741,6.2%
長野,2340,89440,2.6%
岐阜,4509,116077,3.9%
静岡,4785,171062,2.8%
愛知,24822,347169,7.1%
三重,2353,52085,4.5%
滋賀,2270,63197,3.6%
京都,8798,141570,6.2%
大阪,45477,698622,6.5%
兵庫,17232,219751,7.8%
奈良,3233,74734,4.3%
和歌山,1118,22967,4.9%
鳥取,207,37113,0.6%
島根,278,13515,2.1%
岡山,2422,55878,4.3%
広島,4909,138115,3.6%
山口,1338,52858,2.5%
徳島,402,23298,1.7%
香川,708,40912,1.7%
愛媛,1026,27842,3.7%
高知,864,6980,12.4%
福岡,16963,399116,4.3%
佐賀,992,25628,3.9%
長崎,1569,61891,2.5%
熊本,3392,55171,6.1%
大分,1242,71055,1.7%
宮崎,1906,24309,7.8%
鹿児島,1685,60543,2.8%
沖縄,7928,134957,5.9%
長崎船,149,0,-
合計,407827,6951770,5.9%
