都道府県名,陽性者数 検査人数,,%
北海道,21711,470440,4.6%
青森,1159,27415,4.2%
岩手,745,49581,1.5%
宮城,7092,103234,6.9%
秋田,325,8015,4.1%
山形,1186,38820,3.1%
福島,2791,161889,1.7%
茨城,7070,27489,25.7%
栃木,4920,180630,2.7%
群馬,5247,119057,4.4%
埼玉,34193,680889,5.0%
千葉,30648,495903,6.2%
東京,125557,1839754,6.8%
神奈川,49416,728454,6.8%
新潟,1708,90478,1.9%
富山,1035,43755,2.4%
石川,2030,63042,3.2%
福井,653,38667,1.7%
山梨,1012,32134,3.1%
長野,3155,125398,2.5%
岐阜,5122,167573,3.1%
静岡,5937,259667,2.3%
愛知,28484,486888,5.9%
三重,2980,82920,3.6%
滋賀,2955,92646,3.2%
京都,10020,185255,5.4%
大阪,59332,1140598,5.2%
兵庫,22160,317669,7.0%
奈良,4456,103792,4.3%
和歌山,1521,28397,5.4%
鳥取,291,51998,0.6%
島根,291,18477,1.6%
岡山,2911,84188,3.5%
広島,5252,189788,2.8%
山口,1458,71202,2.0%
徳島,677,34297,2.0%
香川,976,54888,1.8%
愛媛,1688,45673,3.7%
高知,946,7543,12.5%
福岡,19354,530298,3.6%
佐賀,1261,33567,3.8%
長崎,1653,80986,2.0%
熊本,3531,58659,6.0%
大分,1342,97380,1.4%
宮崎,1971,24949,7.9%
鹿児島,1913,75797,2.5%
沖縄,10611,171706,6.2%
長崎船,149,0,-
合計,500895,9821845,5.1%
