都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1109,15427,156,10,863,90
青   森,27,882,0,0,26,1
岩    手,0,705,0,0,0,0
宮    城,88,3064,0,0,87,1
秋  田,16,942,0,0,16,0
山    形,69,2444,2,1,67,0
福    島,81,4984,3,0,78,0
茨    城,168,4772,3,0,155,10
栃    木,66,4700,9,0,60,0
群    馬,151,3904,9,1,123,19
埼    玉,1007,23212,36,4,920,51
千    葉,904,15358,20,4,839,45
東    京,5369,15681,363,26,4695,311
神 奈 川,1387,10327,137,19,1163,87
新    潟,83,4334,1,0,81,0
富    山,227,3482,7,0,198,22
石    川,299,2783,35,2,237,27
福    井,122,2821,1,1,113,8
山    梨,65,4259,2,0,62,1
長    野,76,2839,5,0,71,-
岐    阜,151,3874,2,1,142,7
静    岡,75,3603,2,0,72,1
愛    知,509,10467,8,0,463,34
三    重,45,2561,0,0,44,1
滋    賀,100,1957,2,1,97,1
京    都,358,8435,8,0,332,18
大    阪,1784,33273,68,15,1628,84
兵    庫,699,11498,5,4,652,42
奈    良,92,2898,1,0,89,2
和 歌 山,63,3768,0,0,60,3
鳥    取,3,1385,0,0,3,0
島    根,24,1159,1,1,23,0
岡    山,25,1757,0,-,25,-
広    島,168,7136,3,0,162,3
山    口,37,1837,1,1,36,0
徳    島,5,773,0,0,4,1
香    川,28,2274,0,0,28,0
愛    媛,82,2389,18,1,60,4
高    知,74,1832,0,0,71,3
福    岡,797,13960,129,5,641,27
佐    賀,47,1482,0,0,45,0
長    崎,17,2883,0,0,16,1
熊    本,48,4015,1,0,44,3
大    分,60,4202,1,0,58,1
宮    崎,17,1414,0,0,17,0
鹿 児 島,10,1982,0,0,10,0
沖    縄,142,2908,2,1,137,7
(その他),149,-,1,-,148,-
合計,16923,262642,1042,98,14961,916
