都道府県名,陽性者数,検査人数,%,備考
北海道,239,2690,8.9%,HP 4/9時点
青森県,14,313,4.5%,
岩手県,0,136,0.0%,
宮城県,37,660,5.6%,
秋田県,12,491,2.4%,4/9時点
山形県,27,782,3.5%,
福島県,36,541,6.7%,
茨城県,82,2221,3.7%,
栃木県,31,1003,3.1%,
群馬県,35,1490,2.3%,
埼玉県,325,1973,16.5%,HP
千葉県,375,1691,22.2%,
東京都,1717,5660,30.3%,4/9時点
神奈川県,425,2600,16.3%,
新潟県,41,1587,2.6%,
富山県,23,639,3.6%,
石川県,92,562,16.4%,
福井県,76,511,14.9%,
山梨県,27,1013,2.7%,
長野県,28,892,3.1%,
岐阜県,82,1182,6.9%,
静岡県,34,1426,2.4%,
愛知県,313,3990,7.8%,HP 4/9時点
三重県,15,906,1.7%,
滋賀県,34,487,7.0%,
京都府,168,1968,8.5%,
大阪府,697,2133,32.7%,
兵庫県,316,3691,8.6%,4/9時点
奈良県,37,523,7.1%,
和歌山県,33,1877,1.8%,HP
鳥取県,1,299,0.3%,
島根県,2,205,1.0%,
岡山県,16,595,2.7%,4/9時点
広島県,25,1714,1.5%,
山口県,17,557,3.1%,
徳島県,3,228,1.3%,
香川県,4,480,0.8%,
愛媛県,28,545,5.1%,4/10  9:00時点
高知県,52,781,6.7%,
福岡県,224,4109,5.5%,
佐賀県,12,356,3.4%,
長崎県,14,933,1.5%,
熊本県,23,1693,1.4%,
大分県,42,2070,2.0%,
宮崎県,16,585,2.7%,
鹿児島県,3,523,0.6%,
沖縄県,49,680,7.2%,
合計,5902,61991,9.5%,
