都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1030,11853,241,17,711,78
青   森,27,813,2,0,24,1
岩    手,0,601,0,0,0,0
宮    城,88,2819,1,0,86,1
秋  田,16,920,0,0,16,0
山    形,69,2615,5,1,64,0
福    島,81,3808,11,0,70,0
茨    城,168,4469,14,0,145,9
栃    木,64,3414,15,5,47,0
群    馬,149,3438,24,1,106,19
埼    玉,999,18160,105,6,848,46
千    葉,904,13742,98,6,762,44
東    京,5138,14653,628,43,4229,271
神 奈 川,1322,8780,286,30,965,71
新    潟,83,3994,13,0,69,0
富    山,227,3067,28,0,178,21
石    川,295,2590,61,3,210,24
福    井,122,2458,6,2,108,8
山    梨,60,3602,4,1,56,0
⾧    野,76,2552,16,1,60,-
岐    阜,150,3192,5,1,138,7
静    岡,74,3384,3,1,70,1
愛    知,506,9525,25,0,442,34
三    重,45,2450,5,0,39,1
滋    賀,100,1714,16,1,83,1
京    都,358,7493,35,3,309,14
大    阪,1781,28565,243,24,1449,78
兵    庫,699,10614,54,11,605,40
奈    良,91,2754,7,0,82,2
和 歌 山,63,3612,6,0,54,3
鳥    取,3,1295,1,0,2,0
島    根,24,1082,4,1,20,0
岡    山,25,1643,0,-,25,-
広    島,167,6696,23,1,142,2
山    口,37,1656,3,1,34,0
徳    島,5,703,0,0,4,1
香    川,28,2086,1,0,27,0
愛    媛,79,1831,30,0,45,4
高    知,74,1738,2,0,69,3
福    岡,658,11764,41,5,592,25
佐    賀,47,1376,12,0,33,0
⾧    崎,17,2655,0,0,16,1
熊    本,48,3835,8,0,37,3
大    分,60,3828,2,0,57,1
宮    崎,17,1339,2,0,15,0
鹿 児 島,10,1685,1,0,9,0
沖    縄,142,2806,6,3,132,6
(その他),149,-,37,-,112,-
合計,16375,229669,2130,168,13396,820
