都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1221,20182,79,7,1044,98
青   森,27,971,0,0,26,1
岩    手,0,918,0,0,0,0
宮    城,92,3652,4,0,87,1
秋  田,16,990,0,0,16,0
山    形,69,2526,1,1,68,0
福    島,82,6593,2,0,80,0
茨    城,172,5235,5,0,157,10
栃    木,69,6699,0,0,65,0
群    馬,152,4897,2,0,131,19
埼    玉,1101,33141,86,4,950,65
千    葉,946,17898,33,2,868,45
東    京,6054,77406,409,14,5320,325
神 奈 川,1455,12347,64,10,1295,96
新    潟,84,4860,2,0,81,0
富    山,227,3896,0,0,205,22
石    川,300,2895,22,1,251,27
福    井,122,3366,0,0,114,8
山    梨,72,5495,0,0,71,1
長    野,77,3227,1,0,76,-
岐    阜,156,5122,3,1,146,7
静    岡,80,7324,4,0,75,1
愛    知,523,12445,7,0,476,34
三    重,46,2847,1,0,44,1
滋    賀,101,2340,1,0,99,1
京    都,366,9896,4,0,344,18
大    阪,1814,39556,29,3,1699,86
兵    庫,705,14637,8,0,654,43
奈    良,92,3760,0,0,90,2
和 歌 山,64,3962,1,0,60,3
鳥    取,3,1471,0,0,3,0
島    根,24,1238,1,0,23,0
岡    山,26,1906,1,-,25,-
広    島,168,7744,0,0,165,3
山    口,37,2240,0,0,37,0
徳    島,6,869,0,0,4,1
香    川,28,2636,0,0,28,0
愛    媛,82,2586,1,0,77,4
高    知,74,1958,0,0,71,3
福    岡,844,15995,16,2,795,33
佐    賀,47,1611,0,0,47,0
長    崎,17,3177,0,0,16,1
熊    本,49,4234,1,0,45,3
大    分,60,4803,0,0,59,1
宮    崎,17,1549,0,0,17,0
鹿 児 島,11,2561,1,0,10,0
沖    縄,142,3012,0,0,139,7
(その他),149,-,1,-,148,-
合計,18069,378673,790,45,16301,970
