都道府県名,陽性者数 検査人数,,%
北海道,1221,20182,6.0%
青森,27,971,2.8%
岩手,0,918,0.0%
宮城,92,3652,2.5%
秋田,16,990,1.6%
山形,69,2526,2.7%
福島,82,6593,1.2%
茨城,172,5235,3.3%
栃木,69,6699,1.0%
群馬,152,4897,3.1%
埼玉,1101,33141,3.3%
千葉,946,17898,5.3%
東京,6054,77406,7.8%
神奈川,1455,12347,11.8%
新潟,84,4860,1.7%
富山,227,3896,5.8%
石川,300,2895,10.4%
福井,122,3366,3.6%
山梨,72,5495,1.3%
長野,77,3227,2.4%
岐阜,156,5122,3.0%
静岡,80,7324,1.1%
愛知,523,12445,4.2%
三重,46,2847,1.6%
滋賀,101,2340,4.3%
京都,366,9896,3.7%
大阪,1814,39556,4.6%
兵庫,705,14637,4.8%
奈良,92,3760,2.4%
和歌山,64,3962,1.6%
鳥取,3,1471,0.2%
島根,24,1238,1.9%
岡山,26,1906,1.4%
広島,168,7744,2.2%
山口,37,2240,1.7%
徳島,6,869,0.7%
香川,28,2636,1.1%
愛媛,82,2586,3.2%
高知,74,1958,3.8%
福岡,844,15995,5.3%
佐賀,47,1611,2.9%
長崎,17,3177,0.5%
熊本,49,4234,1.2%
大分,60,4803,1.2%
宮崎,17,1549,1.1%
鹿児島,11,2561,0.4%
沖縄,142,3012,4.7%
長崎船,149,-,-
合計,18069,378673,4.8%
