都道府県名,陽性者数 検査人数,,%
北海道,22459,494017,4.5%
青森,1320,29612,4.5%
岩手,781,52432,1.5%
宮城,7601,111513,6.8%
秋田,377,9186,4.1%
山形,1349,43463,3.1%
福島,3007,171573,1.8%
茨城,7484,28508,26.3%
栃木,5080,190190,2.7%
群馬,5494,127459,4.3%
埼玉,35570,709844,5.0%
千葉,31714,516145,6.1%
東京,130488,1909918,6.8%
神奈川,51021,760497,6.7%
新潟,1951,96775,2.0%
富山,1154,46867,2.5%
石川,2192,66117,3.3%
福井,741,41883,1.8%
山梨,1071,35312,3.0%
長野,3525,135888,2.6%
岐阜,5376,174558,3.1%
静岡,6158,273186,2.3%
愛知,30194,515953,5.9%
三重,3189,86936,3.7%
滋賀,3233,97622,3.3%
京都,10924,196943,5.5%
大阪,68688,1259835,5.5%
兵庫,25739,341684,7.5%
奈良,5164,113113,4.6%
和歌山,1807,30171,6.0%
鳥取,343,57430,0.6%
島根,297,18895,1.6%
岡山,3244,89012,3.6%
広島,5436,201024,2.7%
山口,1570,74020,2.1%
徳島,939,37102,2.5%
香川,1065,57617,1.8%
愛媛,1970,52286,3.8%
高知,965,7595,12.7%
福岡,20242,552868,3.7%
佐賀,1352,34919,3.9%
長崎,1779,85701,2.1%
熊本,3591,60022,6.0%
大分,1379,101276,1.4%
宮崎,2053,27800,7.4%
鹿児島,1970,78467,2.5%
沖縄,11521,179773,6.4%
長崎船,149,0,-
合計,534716,10383007,5.1%
