都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,22459,494017,1013,24,20623,805
青森,1320,29612,176,0,1124,20
岩手,781,52432,49,1,701,31
宮城,7601,111513,867,19,6668,49
秋田,377,9186,56,1,312,9
山形,1349,43463,241,4,1080,28
福島,3007,171573,274,11,2615,118
茨城,7484,28508,430,9,6924,130
栃木,5080,190190,169,3,4841,70
群馬,5494,127459,272,8,5120,102
埼玉,35570,709844,1646,34,33194,730
千葉,31714,516145,1187,12,29926,601
東京,130488,1909918,4785,47,123856,1847
神奈川,51021,760497,1539,27,48681,801
新潟,1951,96775,297,4,1636,18
富山,1154,46867,136,2,989,29
石川,2192,66117,188,12,1935,67
福井,741,41883,104,2,606,31
山梨,1071,35312,54,1,998,19
長野,3525,135888,400,2,3108,53
岐阜,5376,174558,270,4,4977,129
静岡,6158,273186,239,3,5798,121
愛知,30194,515953,2112,12,27470,612
三重,3189,86936,315,13,2892,75
滋賀,3233,97622,329,3,2843,61
京都,10924,196943,922,10,9854,179
大阪,68688,1259835,13475,302,53319,1273
兵庫,25739,341684,3936,81,21177,626
奈良,5164,113113,876,23,4227,61
和歌山,1807,30171,328,44,1431,20
鳥取,343,57430,96,0,238,2
島根,297,18895,9,0,288,0
岡山,3244,89012,246,4,2742,35
広島,5436,201024,156,1,5156,107
山口,1570,74020,126,0,1401,43
徳島,939,37102,305,6,607,27
香川,1065,57617,115,3,934,19
愛媛,1970,52286,344,8,1598,28
高知,965,7595,20,1,926,19
福岡,20242,552868,956,12,18942,344
佐賀,1352,34919,96,0,1265,13
長崎,1779,85701,131,0,1608,40
熊本,3591,60022,67,3,3450,74
大分,1379,101276,39,1,1318,22
宮崎,2053,27800,60,0,1986,22
鹿児島,1970,78467,71,1,1893,28
沖縄,11521,179773,1192,11,10205,130
(その他),149,-,0,-,149,-
合計,534716,10383007,40714,769,483631,9668
