都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,23000,506917,1127,25,20980,826
青森,1435,31106,237,0,1178,20
岩手,811,53943,48,1,732,31
宮城,7832,114875,759,17,7010,54
秋田,402,9637,62,0,331,9
山形,1411,44981,192,5,1189,30
福島,3148,178294,330,11,2697,121
茨城,7729,28924,519,10,7079,131
栃木,5173,193528,190,4,4913,70
群馬,5637,131991,299,4,5236,102
埼玉,36444,728120,2045,30,33664,735
千葉,32211,532307,1219,11,30378,614
東京,133662,1955136,5802,52,125991,1869
神奈川,51974,779963,1816,31,49353,805
新潟,2108,101380,336,2,1754,18
富山,1229,48632,148,3,1052,29
石川,2309,68389,252,11,1987,68
福井,831,44298,169,2,630,32
山梨,1113,35312,65,1,1029,19
長野,3675,141593,389,4,3260,54
岐阜,5535,180518,330,3,5075,130
静岡,6261,280654,265,3,5875,121
愛知,31112,530413,2485,16,28011,616
三重,3418,91905,460,17,2970,76
滋賀,3432,100311,448,5,2923,61
京都,11427,203699,1142,9,10142,181
大阪,73412,1315417,15874,334,55555,1324
兵庫,27564,355546,4156,88,22763,645
奈良,5573,118912,1000,19,4506,67
和歌山,1979,30171,379,56,1547,22
鳥取,352,59075,74,0,270,2
島根,324,19437,28,0,296,0
岡山,3447,89012,396,11,2907,37
広島,5573,232883,219,3,5223,108
山口,1674,77872,212,0,1419,43
徳島,1068,40362,352,7,685,31
香川,1137,59274,152,4,970,20
愛媛,2132,56885,388,9,1715,29
高知,980,7672,28,0,933,19
福岡,21021,572011,1506,12,19168,345
佐賀,1452,36180,179,0,1280,13
長崎,1887,88116,220,1,1633,40
熊本,3767,61660,203,5,3487,77
大分,1502,104856,147,1,1331,24
宮崎,2089,28570,58,0,2001,22
鹿児島,2003,79790,75,0,1917,28
沖縄,11952,185402,1285,10,10540,133
(その他),149,-,0,-,149,-
合計,554356,10735929,48065,837,495734,9851
