都道府県名,陽性者数 検査人数,,%
北海道,23000,506917,4.5%
青森,1435,31106,4.6%
岩手,811,53943,1.5%
宮城,7832,114875,6.8%
秋田,402,9637,4.2%
山形,1411,44981,3.1%
福島,3148,178294,1.8%
茨城,7729,28924,26.7%
栃木,5173,193528,2.7%
群馬,5637,131991,4.3%
埼玉,36444,728120,5.0%
千葉,32211,532307,6.1%
東京,133662,1955136,6.8%
神奈川,51974,779963,6.7%
新潟,2108,101380,2.1%
富山,1229,48632,2.5%
石川,2309,68389,3.4%
福井,831,44298,1.9%
山梨,1113,35312,3.2%
長野,3675,141593,2.6%
岐阜,5535,180518,3.1%
静岡,6261,280654,2.2%
愛知,31112,530413,5.9%
三重,3418,91905,3.7%
滋賀,3432,100311,3.4%
京都,11427,203699,5.6%
大阪,73412,1315417,5.6%
兵庫,27564,355546,7.8%
奈良,5573,118912,4.7%
和歌山,1979,30171,6.6%
鳥取,352,59075,0.6%
島根,324,19437,1.7%
岡山,3447,89012,3.9%
広島,5573,232883,2.4%
山口,1674,77872,2.1%
徳島,1068,40362,2.6%
香川,1137,59274,1.9%
愛媛,2132,56885,3.7%
高知,980,7672,12.8%
福岡,21021,572011,3.7%
佐賀,1452,36180,4.0%
長崎,1887,88116,2.1%
熊本,3767,61660,6.1%
大分,1502,104856,1.4%
宮崎,2089,28570,7.3%
鹿児島,2003,79790,2.5%
沖縄,11952,185402,6.4%
長崎船,149,0,-
合計,554356,10735929,5.2%
