都道府県名,陽性者数 検査人数,,%
北海道,3868,91667,4.2%
青森,273,5899,4.6%
,30,5655,0.5%
宮城,852,15141,5.6%
秋田,67,2642,2.5%
山形,87,6750,1.3%
福島,415,31746,1.3%
茨城,818,14162,5.8%
栃木,498,45794,1.1%
群馬,925,30551,3.0%
埼玉,6246,195066,3.2%
千葉,5354,135791,3.9%
東京,32618,627902,5.2%
神奈川,9340,209445,4.5%
新潟,195,18323,1.1%
富山,424,15001,2.8%
石川,822,18534,4.4%
福井,259,11262,2.3%
山梨,225,11926,1.9%
⾧野,370,24098,1.5%
岐阜,735,27945,2.6%
静岡,707,44670,1.6%
,6731,106326,6.3%
三重,596,16342,3.6%
滋賀,601,14787,4.1%
京都,2101,54297,3.9%
大阪,13816,252221,5.5%
,3486,72674,4.8%
奈良,737,25726,2.9%
和歌山,288,10645,2.7%
鳥取,43,5889,0.7%
島根,141,6281,2.2%
岡山,338,11198,3.0%
広島,671,28463,2.4%
山口,225,11960,1.9%
徳島,167,7583,2.2%
香川,105,14148,0.7%
愛媛,117,4434,2.6%
高知,144,3680,3.9%
,5280,171745,3.1%
佐賀,268,7618,3.5%
⾧崎,246,23574,1.0%
熊本,854,20847,4.1%
大分,161,21923,0.7%
宮崎,372,8807,4.2%
鹿児島,523,23324,2.2%
沖縄,3518,61098,5.8%
⾧崎船,149,0,-
合計,106806,2575560,4.1%
