都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,19535,397873,603,5,18201,693
青森,820,20606,19,0,781,20
岩手,555,28397,2,0,523,30
宮城,3791,71628,188,5,3578,25
秋田,269,7148,1,0,262,6
山形,544,28517,7,0,522,15
福島,2105,120264,210,10,1813,82
茨城,6012,25070,332,7,5562,118
栃木,4172,150966,104,1,4000,68
群馬,4611,98285,161,4,4362,88
埼玉,30122,573186,1283,38,28210,629
千葉,27310,426967,1281,23,25544,485
東京,113571,1590413,2699,46,109393,1479
神奈川,45733,618694,1012,32,44005,716
新潟,1124,46237,62,2,1046,16
富山,909,37073,10,1,871,28
石川,1877,53605,69,5,1759,62
福井,546,32619,3,0,518,25
山梨,941,27101,2,0,922,17
長野,2374,102395,16,0,2349,41
岐阜,4776,140319,115,10,4546,115
静岡,5267,206312,171,1,4997,99
愛知,26160,408282,559,30,25060,541
三重,2567,67122,97,4,2489,59
滋賀,2572,76230,159,4,2366,47
京都,9107,160334,159,2,8801,162
大阪,47708,839107,935,74,45225,1137
兵庫,18185,259506,370,36,17257,558
奈良,3409,85081,72,7,3289,48
和歌山,1167,24771,7,0,1118,18
鳥取,210,42547,2,0,203,2
島根,284,16183,1,0,283,0
岡山,2526,69524,44,1,2419,33
広島,5046,166610,34,3,4909,103
山口,1387,60724,31,0,1314,42
徳島,461,27582,25,2,420,16
香川,761,46064,16,0,727,18
愛媛,1066,34010,21,1,1021,24
高知,903,7177,19,4,866,18
福岡,18260,458765,428,16,17527,305
佐賀,1094,28863,57,1,1047,9
長崎,1612,69566,7,0,1568,37
熊本,3457,57096,30,2,3357,73
大分,1297,82545,16,0,1259,22
宮崎,1953,24799,12,1,1913,21
鹿児島,1762,68716,16,1,1746,27
沖縄,8331,149721,267,2,7949,120
(その他),149,-,0,-,149,-
合計,438398,8134600,11734,381,418046,8297
