都道府県名,陽性者数 検査人数,,%
北海道,20086,416569,4.8%
青森,881,22451,3.9%
岩手,571,30545,1.9%
宮城,4217,76531,5.5%
秋田,272,7204,3.8%
山形,565,29801,1.9%
福島,2234,129241,1.7%
茨城,6259,25356,24.7%
栃木,4335,159998,2.7%
群馬,4742,103291,4.6%
埼玉,31203,602214,5.2%
千葉,28202,443159,6.4%
東京,116293,1657779,7.0%
神奈川,46631,650261,7.2%
新潟,1214,74205,1.6%
富山,913,39386,2.3%
石川,1887,56514,3.3%
福井,549,33779,1.6%
山梨,954,28326,3.4%
長野,2464,107089,2.3%
岐阜,4809,148880,3.2%
静岡,5438,225502,2.4%
愛知,26493,430495,6.2%
三重,2618,70180,3.7%
滋賀,2663,80644,3.3%
京都,9211,166249,5.5%
大阪,48606,908557,5.3%
兵庫,18585,272873,6.8%
奈良,3482,89328,3.9%
和歌山,1187,25216,4.7%
鳥取,210,44430,0.5%
島根,285,16686,1.7%
岡山,2590,72624,3.6%
広島,5067,172116,2.9%
山口,1395,64978,2.1%
徳島,464,28768,1.6%
香川,772,47814,1.6%
愛媛,1076,35173,3.1%
高知,910,7266,12.5%
福岡,18551,479225,3.9%
佐賀,1148,30370,3.8%
長崎,1614,72492,2.2%
熊本,3481,57468,6.1%
大分,1299,86899,1.5%
宮崎,1953,24805,7.9%
鹿児島,1765,70174,2.5%
沖縄,8575,155617,5.5%
長崎船,149,0,-
合計,448868,8578528,5.2%
