都道府県名,陽性者数 検査人数,,%
北海道,1824,46886,3.9%
青森,35,2104,1.7%
岩手,23,3380,0.7%
宮城,239,8254,2.9%
秋田,50,1816,2.8%
山形,78,3129,2.5%
福島,178,15761,1.1%
茨城,583,11063,5.3%
栃木,310,23670,1.3%
群馬,482,15572,3.1%
埼玉,4122,114460,3.6%
千葉,3211,59406,5.4%
東京,21772,348595,6.2%
神奈川,5431,120662,4.5%
新潟,146,13247,1.1%
富山,402,9850,4.1%
石川,704,9416,7.5%
福井,243,8855,2.7%
山梨,174,9693,1.8%
長野,287,15974,1.8%
岐阜,564,18883,3.0%
静岡,487,26858,1.8%
愛知,4671,57949,8.1%
三重,424,10326,4.1%
滋賀,462,9930,4.7%
京都,1512,32853,4.6%
大阪,9043,146194,6.2%
兵庫,2339,46925,5.0%
奈良,538,15262,3.5%
和歌山,233,8772,2.7%
鳥取,22,4580,0.5%
島根,137,4988,2.7%
岡山,146,7049,2.1%
広島,459,18176,2.5%
山口,184,7271,2.5%
徳島,145,6367,2.3%
香川,84,8695,1.0%
愛媛,114,3855,3.0%
高知,132,3201,4.1%
福岡,4782,42849,11.2%
佐賀,240,5265,4.6%
長崎,234,15430,1.5%
熊本,543,12344,4.4%
大分,157,13460,1.2%
宮崎,339,8161,4.2%
鹿児島,371,16322,2.3%
沖縄,2220,25134,8.8%
長崎船,149,0,-
合計,71025,1418892,5.0%
