都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,989,9938,389,17,528,72
青   森,27,797,5,0,21,0
岩    手,0,465,0,0,0,0
宮    城,88,2475,5,0,82,1
秋  田,16,905,1,0,15,0
山    形,69,2541,11,2,58,0
福    島,81,2827,20,2,61,0
茨    城,168,4252,38,2,105,9
栃    木,58,2795,18,5,40,0
群    馬,147,3237,47,1,82,18
埼    玉,979,15348,204,8,730,45
千    葉,890,12272,218,11,627,42
東    京,5036,14010,1431,53,3386,219
神 奈 川,1251,7931,379,34,809,63
新    潟,83,3710,22,0,60,0
富    山,224,2935,69,2,137,18
石    川,285,2448,99,3,166,20
福    井,122,2297,15,2,99,8
山    梨,57,3205,6,1,51,0
⾧    野,76,2324,24,2,52,-
岐    阜,150,3018,10,1,133,7
静    岡,73,3261,6,2,66,1
愛    知,503,8773,74,4,390,34
三    重,45,2264,7,0,37,1
滋    賀,98,1556,20,1,77,1
京    都,358,6285,62,1,283,13
大    阪,1765,18932,434,41,1256,66
兵    庫,698,9800,113,19,548,37
奈    良,90,2383,12,0,76,2
和 歌 山,63,3477,8,0,52,3
鳥    取,3,1223,2,0,1,0
島    根,24,967,8,1,16,0
岡    山,25,1483,2,-,23,-
広    島,165,6320,52,1,111,2
山    口,37,1598,4,1,33,0
徳    島,5,663,0,0,4,1
香    川,28,1935,2,0,26,0
愛    媛,70,1441,26,0,41,3
高    知,74,1650,5,0,66,3
福    岡,657,12301,110,10,522,25
佐    賀,46,1301,15,0,29,0
⾧    崎,17,2500,1,0,15,1
熊    本,48,3656,14,1,31,3
大    分,60,3644,3,0,56,1
宮    崎,17,1290,4,0,13,0
鹿 児 島,10,1585,3,0,7,0
沖    縄,142,2643,21,4,115,6
(その他),149,623,6,-,0,-
合計,16066,203284,4025,232,11136,725
