都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1015,10885,319,16,620,76
青   森,27,804,5,0,21,1
岩    手,0,554,0,0,0,0
宮    城,88,2588,2,0,85,1
秋  田,16,913,1,0,15,0
山    形,69,2576,11,2,58,0
福    島,81,3338,15,1,66,0
茨    城,168,4346,26,1,133,9
栃    木,61,2952,15,5,44,0
群    馬,148,3349,29,1,101,18
埼    玉,991,16890,143,6,802,46
千    葉,900,13050,145,11,713,42
東    京,5070,14464,978,49,3848,244
神 奈 川,1284,8317,312,32,904,68
新    潟,83,3843,18,0,64,0
富    山,227,3000,41,1,166,20
石    川,290,2513,77,3,191,22
福    井,122,2347,9,2,104,8
山    梨,58,3395,7,1,51,0
⾧    野,76,2450,21,1,55,-
岐    阜,150,3083,7,1,136,7
静    岡,73,3315,2,1,70,1
愛    知,506,9176,44,2,423,34
三    重,45,2362,5,0,39,1
滋    賀,99,1623,17,1,81,1
京    都,358,7109,47,4,297,14
大    阪,1771,25983,396,36,1294,70
兵    庫,699,10192,80,15,581,38
奈    良,90,2383,7,0,81,2
和 歌 山,63,3554,8,0,52,3
鳥    取,3,1260,2,0,1,0
島    根,24,1044,8,1,16,0
岡    山,25,1570,2,-,23,-
広    島,166,6513,47,1,117,2
山    口,37,1628,3,1,34,0
徳    島,5,675,0,0,4,1
香    川,28,2013,1,0,27,0
愛    媛,74,1768,27,2,44,3
高    知,74,1689,4,0,67,3
福    岡,658,11519,80,8,553,25
佐    賀,47,1339,14,0,31,0
⾧    崎,17,2577,0,0,16,1
熊    本,48,3755,10,1,35,3
大    分,60,3728,3,0,56,1
宮    崎,17,1314,3,0,14,0
鹿 児 島,10,1623,3,0,7,0
沖    縄,142,2752,,4,,6
(その他),149,623,5,-,2,-
合計,16212,218744,3009,210,12269,771
