都道府県名,陽性者数 検査人数,,%
北海道,1015,10885,9.3%
青森,27,804,3.4%
岩手,0,554,0.0%
宮城,88,2588,3.4%
秋田,16,913,1.8%
山形,69,2576,2.7%
福島,81,3338,2.4%
茨城,168,4346,3.9%
栃木,61,2952,2.1%
群馬,148,3349,4.4%
埼玉,991,16890,5.9%
千葉,900,13050,6.9%
東京,5070,14464,35.1%
神奈川,1284,8317,15.4%
新潟,83,3843,2.2%
富山,227,3000,7.6%
石川,290,2513,11.5%
福井,122,2347,5.2%
山梨,58,3395,1.7%
⾧野,76,2450,3.1%
岐阜,150,3083,4.9%
静岡,73,3315,2.2%
愛知,506,9176,5.5%
三重,45,2362,1.9%
滋賀,99,1623,6.1%
京都,358,7109,5.0%
大阪,1771,25983,6.8%
兵庫,699,10192,6.9%
奈良,90,2383,3.8%
和歌山,63,3554,1.8%
鳥取,3,1260,0.2%
島根,24,1044,2.3%
岡山,25,1570,1.6%
広島,166,6513,2.5%
山口,37,1628,2.3%
徳島,5,675,0.7%
香川,28,2013,1.4%
愛媛,74,1768,4.2%
高知,74,1689,4.4%
福岡,658,11519,5.7%
佐賀,47,1339,3.5%
⾧崎,17,2577,0.7%
熊本,48,3755,1.3%
大分,60,3728,1.6%
宮崎,17,1314,1.3%
鹿児島,10,1623,0.6%
沖縄,142,2752,5.2%
⾧崎船,149,623,23.9%
合計,16212,218744,7.4%
