都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1404,28088,86,4,1215,103
青 森,31,1427,1,0,29,1
岩手,2,1454,2,0,0,0
宮城,153,5763,14,0,138,1
秋  田,18,1127,2,0,16,0
山形,75,2882,1,0,74,1
福島,87,9681,4,0,83,0
茨城,268,6996,47,1,211,10
栃木,185,13181,50,0,127,0
群馬,187,7995,27,2,141,19
埼玉,2256,64828,476,3,1707,73
千葉,1620,27453,357,4,1215,48
東京,12228,182521,2460,22,9438,330
神奈川,2432,17863,303,8,2030,99
新潟,103,6250,14,0,88,0
富山,238,5292,6,0,210,22
石川,320,3248,19,3,274,27
福井,137,4808,12,0,117,8
山梨,90,7197,10,0,79,1
長野,103,6903,21,0,82,-
岐阜,312,10052,119,0,186,7
静岡,234,12832,126,0,107,1
愛知,1449,22156,857,2,551,35
三重,90,4145,35,0,53,1
滋賀,168,4294,55,2,112,1
京都,749,17369,238,2,491,20
大阪,3841,70333,1151,18,2598,89
兵庫,1105,25096,204,6,856,45
奈良,228,8733,66,1,160,2
和歌山,142,6036,42,2,95,3
鳥取,11,2677,6,0,5,0
島根,29,2866,4,0,25,0
岡山,76,2839,30,-,41,-
広島,304,11531,79,0,221,3
山口,53,3860,14,0,39,0
徳島,23,1663,6,0,8,1
香川,46,4635,5,0,41,0
愛媛,89,2963,5,0,79,5
高知,80,2242,4,0,73,3
福岡,1635,23282,587,5,1015,33
佐賀,75,2357,26,0,50,0
長崎,66,6544,37,-,27,2
熊本,157,5250,106,0,48,3
大分,64,6479,4,0,59,1
宮崎,106,3631,86,0,20,0
鹿児島,232,10274,85,0,147,0
沖縄,324,8033,173,2,148,7
(その他),149,-,0,-,149,-
合計,33774,687129,8062,87,24678,1005
