都道府県名,陽性者数 検査人数,,%
北海道,1404,28088,5.0%
青森,31,1427,2.2%
岩手,2,1454,0.1%
宮城,153,5763,2.7%
秋田,18,1127,1.6%
山形,75,2882,2.6%
福島,87,9681,0.9%
茨城,268,6996,3.8%
栃木,185,13181,1.4%
群馬,187,7995,2.3%
埼玉,2256,64828,3.5%
千葉,1620,27453,5.9%
東京,12228,182521,6.7%
神奈川,2432,17863,13.6%
新潟,103,6250,1.6%
富山,238,5292,4.5%
石川,320,3248,9.9%
福井,137,4808,2.8%
山梨,90,7197,1.3%
長野,103,6903,1.5%
岐阜,312,10052,3.1%
静岡,234,12832,1.8%
愛知,1449,22156,6.5%
三重,90,4145,2.2%
滋賀,168,4294,3.9%
京都,749,17369,4.3%
大阪,3841,70333,5.5%
兵庫,1105,25096,4.4%
奈良,228,8733,2.6%
和歌山,142,6036,2.4%
鳥取,11,2677,0.4%
島根,29,2866,1.0%
岡山,76,2839,2.7%
広島,304,11531,2.6%
山口,53,3860,1.4%
徳島,23,1663,1.4%
香川,46,4635,1.0%
愛媛,89,2963,3.0%
高知,80,2242,3.6%
福岡,1635,23282,7.0%
佐賀,75,2357,3.2%
長崎,66,6544,1.0%
熊本,157,5250,3.0%
大分,64,6479,1.0%
宮崎,106,3631,2.9%
鹿児島,232,10274,2.3%
沖縄,324,8033,4.0%
長崎船,149,-,-
合計,33774,687129,4.9%
