都道府県名,陽性者数 検査人数,,%
北海道,20260,422107,4.8%
青森,890,22763,3.9%
岩手,583,40721,1.4%
宮城,4411,78128,5.6%
秋田,274,7258,3.8%
山形,594,30221,2.0%
福島,2267,131975,1.7%
茨城,6344,25439,24.9%
栃木,4390,162281,2.7%
群馬,4783,105705,4.5%
埼玉,31452,608688,5.2%
千葉,28453,451576,6.3%
東京,116919,1673912,7.0%
神奈川,46901,657502,7.1%
新潟,1245,75404,1.7%
富山,915,39826,2.3%
石川,1891,57302,3.3%
福井,550,33950,1.6%
山梨,955,29599,3.2%
長野,2496,107932,2.3%
岐阜,4820,150312,3.2%
静岡,5464,228845,2.4%
愛知,26579,436037,6.1%
三重,2634,73145,3.6%
滋賀,2681,82109,3.3%
京都,9236,168878,5.5%
大阪,48905,928890,5.3%
兵庫,18734,276462,6.8%
奈良,3491,90358,3.9%
和歌山,1191,25337,4.7%
鳥取,210,44847,0.5%
島根,285,17152,1.7%
岡山,2607,75671,3.4%
広島,5070,172867,2.9%
山口,1397,64978,2.1%
徳島,466,29151,1.6%
香川,776,48415,1.6%
愛媛,1077,36331,3.0%
高知,912,7305,12.5%
福岡,18638,484461,3.8%
佐賀,1155,30611,3.8%
長崎,1615,73213,2.2%
熊本,3485,57531,6.1%
大分,1300,87932,1.5%
宮崎,1953,24807,7.9%
鹿児島,1766,70498,2.5%
沖縄,8661,156296,5.5%
長崎船,149,0,-
合計,451830,8704728,5.2%
