都道府県名,陽性者数 検査人数,,%
北海道,979,9406,10.4%
青森,27,776,3.5%
岩手,0,439,0.0%
宮城,88,2371,3.7%
秋田,16,898,1.8%
山形,69,2514,2.7%
福島,81,2708,3.0%
茨城,168,4060,4.1%
栃木,57,2642,2.2%
群馬,147,3152,4.7%
埼玉,973,14266,6.8%
千葉,888,16804,5.3%
東京,4997,13712,36.4%
神奈川,1203,2992,8.0%
新潟,82,3570,2.3%
富山,222,2891,7.7%
石川,284,2390,11.9%
福井,122,2178,5.6%
山梨,57,3108,1.8%
長野,76,2247,3.4%
岐阜,150,3578,4.2%
静岡,73,3206,2.3%
愛知,496,8492,5.8%
三重,45,2163,2.1%
滋賀,97,1490,6.5%
京都,356,5961,6.0%
大阪,1750,17885,9.8%
兵庫,694,9483,7.3%
奈良,90,2383,3.8%
和歌山,63,3424,1.8%
鳥取,3,1198,0.3%
島根,24,944,2.5%
岡山,25,1434,1.7%
広島,165,6181,2.7%
山口,37,1557,2.4%
徳島,5,635,0.8%
香川,28,1894,1.5%
愛媛,51,1305,3.9%
高知,74,1604,4.6%
福岡,656,11967,5.5%
佐賀,46,1281,3.6%
長崎,17,2430,0.7%
熊本,48,3592,1.3%
大分,60,3590,1.7%
宮崎,17,1268,1.3%
鹿児島,11,1516,0.7%
沖縄,142,2608,5.4%
その他,149,623,23.9%
合計,15908,196816,7.6%
