都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,979,9406,409,19,502,68
青   森,27,776,6,0,21,0
岩    手,0,439,0,0,0,0
宮    城,88,2371,6,0,81,1
秋  田,16,898,1,0,15,0
山    形,69,2514,11,2,58,0
福    島,81,2708,24,2,57,0
茨    城,168,4060,47,2,94,9
栃    木,57,2642,18,5,38,0
群    馬,147,3152,53,2,76,18
埼    玉,973,14266,255,9,674,44
千    葉,888,16804,278,11,570,40
東    京,4997,13712,1755,52,3039,203
神 奈 川,1203,2992,376,34,768,59
新    潟,82,3570,30,0,51,0
富    山,222,2891,84,2,122,16
石    川,284,2390,113,3,152,19
福    井,122,2178,16,2,98,8
山    梨,57,3108,6,1,51,0
長    野,76,2247,25,2,51,-
岐    阜,150,3578,13,1,131,6
静    岡,73,3206,12,2,60,1
愛    知,496,8492,85,4,377,34
三    重,45,2163,10,0,34,1
滋    賀,97,1490,20,1,76,1
京    都,356,5961,74,3,269,13
大    阪,1750,17885,510,45,1176,62
兵    庫,694,9483,138,21,521,35
奈    良,90,2383,18,0,70,2
和 歌 山,63,3424,10,0,50,3
鳥    取,3,1198,2,0,1,0
島    根,24,944,10,1,14,0
岡    山,25,1434,4,-,21,-
広    島,165,6181,71,1,92,2
山    口,37,1557,4,1,33,0
徳    島,5,635,0,0,4,1
香    川,28,1894,6,0,22,0
愛    媛,51,1305,9,0,39,3
高    知,74,1604,5,0,66,3
福    岡,656,11967,137,11,494,24
佐    賀,46,1281,17,0,27,0
長    崎,17,2430,1,0,15,1
熊    本,48,3592,20,2,25,3
大    分,60,3590,4,0,55,1
宮    崎,17,1268,5,0,12,0
鹿 児 島,11,1516,3,0,8,0
沖    縄,142,2608,25,4,111,6
(その他),149,623,6,-,0,-
合計,15908,196816,4732,245,10321,687
