都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1283,22763,56,6,1126,101
青 森,28,1055,1,0,26,1
岩手,0,1099,0,0,0,0
宮城,100,4410,7,0,92,1
秋  田,16,1012,0,0,16,0
山形,71,2621,3,0,68,1
福島,83,7698,1,0,82,0
茨城,196,5714,19,1,167,10
栃木,90,8866,11,0,82,0
群馬,155,5690,3,0,133,19
埼玉,1396,42723,269,3,1060,67
千葉,1074,20087,118,0,910,46
東京,7515,111462,1096,5,6094,325
神奈川,1685,14021,158,8,1430,97
新潟,86,5253,2,0,83,0
富山,230,4225,3,0,205,22
石川,300,2956,6,1,267,27
福井,122,3638,0,0,114,8
山梨,76,6139,1,0,74,1
長野,77,3454,1,0,76,-
岐阜,162,5747,7,2,148,7
静岡,92,8602,9,0,82,1
愛知,528,13813,8,0,481,34
三重,46,3021,0,0,45,1
滋賀,104,2677,4,0,99,1
京都,420,11599,40,0,362,18
大阪,1945,45469,96,3,1763,86
兵庫,722,16552,15,0,662,45
奈良,107,4383,15,0,90,2
和歌山,71,4318,7,0,61,3
鳥取,4,1935,1,0,3,0
島根,24,1281,0,0,24,0
岡山,28,2031,2,-,26,-
広島,173,8178,6,0,165,3
山口,37,2616,0,0,37,0
徳島,10,1104,4,0,4,1
香川,28,2952,0,0,28,0
愛媛,82,2663,0,0,77,5
高知,74,2014,0,0,71,3
福岡,902,17729,53,4,816,33
佐賀,47,1690,0,0,47,0
長崎,19,3725,2,0,16,1
熊本,49,4421,0,0,46,3
大分,60,5313,0,0,59,1
宮崎,18,1674,1,0,17,0
鹿児島,124,6048,111,0,11,0
沖縄,145,3097,3,0,139,7
(その他),149,-,0,-,149,-
合計,20753,459538,2139,33,17633,981
