都道府県名,陽性者数 検査人数,,%
北海道,23749,520573,4.6%
青森,1531,32577,4.7%
岩手,867,55480,1.6%
宮城,7992,117933,6.8%
秋田,430,10042,4.3%
山形,1467,47220,3.1%
福島,3280,184322,1.8%
茨城,8040,29586,27.2%
栃木,5309,213140,2.5%
群馬,5867,136538,4.3%
埼玉,37400,749052,5.0%
千葉,32865,537850,6.1%
東京,137351,1997763,6.9%
神奈川,53040,800062,6.6%
新潟,2242,106657,2.1%
富山,1291,51157,2.5%
石川,2428,69976,3.5%
福井,849,46955,1.8%
山梨,1170,35312,3.3%
長野,3804,146049,2.6%
岐阜,5778,186293,3.1%
静岡,6379,290648,2.2%
愛知,32399,547913,5.9%
三重,3662,91905,4.0%
滋賀,3642,102153,3.6%
京都,12112,210702,5.7%
大阪,78973,1383975,5.7%
兵庫,30038,372338,8.1%
奈良,6004,124213,4.8%
和歌山,2102,33520,6.3%
鳥取,365,61161,0.6%
島根,343,19437,1.8%
岡山,3773,95544,3.9%
広島,5778,243826,2.4%
山口,1790,82172,2.2%
徳島,1224,42608,2.9%
香川,1204,60943,2.0%
愛媛,2279,58160,3.9%
高知,1017,7816,13.0%
福岡,22345,593476,3.8%
佐賀,1569,38083,4.1%
長崎,2030,90788,2.2%
熊本,4054,62800,6.5%
大分,1759,109672,1.6%
宮崎,2176,30168,7.2%
鹿児島,2062,81229,2.5%
沖縄,12328,153328,8.0%
長崎船,149,0,-
合計,578306,11063115,5.2%
