都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1996,54197,105,1,1784,107
青 森,35,2329,0,0,34,1
岩手,23,3974,0,0,23,0
宮城,375,9881,67,0,306,2
秋  田,53,2082,2,0,51,0
山形,78,5079,2,1,76,1
福島,232,18810,41,1,189,2
茨城,631,12228,29,5,585,17
栃木,411,28699,66,1,333,1
群馬,688,19671,124,0,541,19
埼玉,4494,135235,247,8,4147,100
千葉,3715,77280,309,8,3336,70
東京,24648,427531,2132,29,22121,395
神奈川,6509,144192,460,30,5913,136
新潟,168,14835,19,1,149,0
富山,410,11637,5,0,380,25
石川,763,12132,57,0,660,46
福井,244,9575,4,2,228,10
山梨,180,10434,3,1,171,6
長野,303,18305,7,0,301,1
岐阜,606,21729,15,1,581,10
静岡,522,32231,11,1,510,1
愛知,5145,71793,380,13,4682,83
三重,483,12042,80,4,396,7
滋賀,483,11309,17,0,458,8
京都,1705,40361,70,1,1610,25
大阪,10271,174612,610,30,9452,199
兵庫,2616,53691,97,6,2462,57
奈良,558,19714,13,0,536,9
和歌山,238,9123,3,0,228,4
鳥取,36,5386,12,0,24,0
島根,138,5334,0,0,137,0
岡山,149,7861,1,-,147,-
広島,492,19986,22,1,466,3
山口,195,9263,7,1,186,2
徳島,147,6806,21,0,114,9
香川,93,10297,8,0,83,2
愛媛,114,4021,0,0,108,6
高知,137,3406,0,0,133,4
福岡,5007,46778,160,10,4755,92
佐賀,244,5746,2,0,244,0
長崎,236,17663,3,0,230,3
熊本,572,16109,11,0,553,8
大分,158,15981,4,0,152,2
宮崎,344,8514,2,0,342,1
鹿児島,389,18115,16,0,373,12
沖縄,2382,37072,137,7,2204,45
(その他),149,-,0,-,149,-
合計,79565,1703049,5381,163,72643,1531
