都道府県名,陽性者数,検査人数,備考
北海道,157,1652,
青森県,0,79,
岩手県,0,29,
宮城県,1,144,
秋田県,2,114,
山形県,0,133,
福島県,2,132,
茨城県,3,464,
栃木県,3,263,
群馬県,10,173,
埼玉県,38,684,
千葉県,36,,
東京都,124,1848,
神奈川県,64,,
新潟県,21,647,
富山県,0,54,
石川県,7,171,
福井県,1,92,
山梨県,2,335,
長野県,4,306,
岐阜県,3,272,
静岡県,3,,
愛知県,134,847,
三重県,9,318,
滋賀県,4,144,
京都府,20,800,
大阪府,119,2011,
兵庫県,91,1108,
奈良県,8,176,
和歌山県,16,1102,
鳥取県,0,115,
島根県,0,91,
岡山県,0,181,
広島県,1,552,
山口県,3,164,
徳島県,1,83,
香川県,1,128,
愛媛県,3,181,
高知県,12,270,
福岡県,5,626,
佐賀県,1,100,
長崎県,1,213,
熊本県,7,467,
大分県,3,167,
宮崎県,3,170,
鹿児島県,0,171,
沖縄県,3,238,
合計,926,18015,
