,2020-03-19,対前日比,うち現在は入院等,,うち退院,,うち死亡,
北海道,156,3,80,51%,69,44%,7,4%
愛知県,127,4,110,87%,3,2%,14,11%
東京都,112,7,86,77%,24,21%,2,2%
大阪府,102,2,79,77%,22,22%,1,1%
兵庫県,69,0,64,93%,1,1%,4,6%
神奈川県,57,5,47,82%,6,11%,4,7%
埼玉県,36,4,32,89%,4,11%,0,0%
千葉県,34,3,25,74%,9,26%,0,0%
京都府,17,0,11,65%,6,35%,0,0%
新潟県,17,0,16,94%,1,6%,0,0%
和歌山県,14,1,5,36%,8,57%,1,7%
高知県,11,0,0,0%,11,100%,0,0%
群馬県,10,0,10,100%,0,0%,0,0%
熊本県,6,1,6,100%,0,0%,0,0%
三重県,6,1,5,83%,1,17%,0,0%
石川県,5,0,3,60%,2,40%,0,0%
福岡県,5,1,3,60%,2,40%,0,0%
奈良県,4,0,2,50%,2,50%,0,0%
滋賀県,4,0,4,100%,0,0%,0,0%
沖縄県,3,0,1,33%,2,67%,0,0%
長野県,3,0,3,100%,0,0%,0,0%
岐阜県,3,0,2,67%,1,33%,0,0%
栃木県,3,0,1,33%,2,67%,0,0%
静岡県,3,0,2,67%,1,33%,0,0%
大分県,3,2,2,67%,1,33%,0,0%
宮崎県,3,0,3,100%,0,0%,0,0%
茨城県,3,1,3,100%,0,0%,0,0%
山梨県,2,0,2,100%,0,0%,0,0%
愛媛県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
秋田県,1,0,0,0%,1,100%,0,0%
宮城県,1,0,0,0%,1,100%,0,0%
山口県,1,0,1,100%,0,0%,0,0%
広島県,1,0,0,0%,1,100%,0,0%
福井県,1,0,1,100%,0,0%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
総計,829,35,614,74%,182,22%,33,4%
