都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1071,12982,223,12,763,85
青   森,27,843,1,0,25,1
岩    手,0,637,0,0,0,0
宮    城,88,2884,0,0,87,1
秋  田,16,931,0,0,16,0
山    形,69,2644,3,1,66,0
福    島,81,4186,7,0,74,0
茨    城,168,4601,9,0,149,10
栃    木,65,3674,17,2,48,0
群    馬,149,3575,14,1,116,19
埼    玉,1002,20156,73,6,882,47
千    葉,906,14284,64,4,797,45
東    京,5195,14936,453,32,4443,299
神 奈 川,1341,9225,229,28,1034,78
新    潟,83,4121,7,0,75,0
富    山,227,3133,19,0,186,22
石    川,297,2667,58,3,215,24
福    井,122,2565,5,2,109,8
山    梨,60,3842,2,0,57,1
長    野,76,2662,10,1,66,-
岐    阜,150,3496,2,1,141,7
静    岡,76,3491,4,1,71,1
愛    知,507,9920,15,0,453,34
三    重,45,2480,3,0,41,1
滋    賀,100,1804,10,1,89,1
京    都,358,7846,21,1,321,16
大    阪,1782,30162,148,19,1539,82
兵    庫,699,10942,37,5,622,40
奈    良,92,2545,5,0,85,2
和 歌 山,63,3657,4,0,56,3
鳥    取,3,1321,0,0,3,0
島    根,24,1099,2,1,22,0
岡    山,25,1677,0,-,25,-
広    島,167,6885,13,0,151,3
山    口,37,1674,2,1,35,0
徳    島,5,726,0,0,4,1
香    川,28,2155,0,0,28,0
愛    媛,82,2046,29,1,49,4
高    知,74,1770,1,0,70,3
福    岡,682,12107,43,6,614,25
佐    賀,47,1398,10,0,35,0
長    崎,17,2715,0,0,16,1
熊    本,48,3885,6,0,39,3
大    分,60,3927,1,0,58,1
宮    崎,17,1363,0,0,17,0
鹿 児 島,10,1852,0,0,10,0
沖    縄,142,2843,4,2,136,6
(その他),149,-,2,-,147,-
合計,16532,240334,1556,131,14085,874
