都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1014,10770,338,16,601,75
青   森,27,802,5,0,21,1
岩    手,0,514,0,0,0,0
宮    城,88,2575,2,0,85,1
秋  田,16,910,1,0,15,0
山    形,69,2562,11,2,58,0
福    島,81,3170,15,1,66,0
茨    城,168,4252,26,1,133,9
栃    木,60,2915,19,5,40,0
群    馬,147,3308,33,1,96,18
埼    玉,991,16277,182,8,763,46
千    葉,900,12955,196,11,662,42
東    京,5065,14404,1192,52,3632,241
神 奈 川,1276,8220,324,30,888,64
新    潟,83,3762,18,0,64,0
富    山,227,2997,42,1,165,20
石    川,287,2501,83,3,182,22
福    井,122,2322,9,2,104,8
山    梨,57,3337,6,1,51,0
⾧    野,76,2433,22,1,54,-
岐    阜,150,3065,8,1,135,7
静    岡,73,3295,2,1,70,1
愛    知,506,9176,54,2,413,34
三    重,45,2360,5,0,39,1
滋    賀,99,1599,19,1,79,1
京    都,358,7092,53,2,291,14
大    阪,1771,25983,396,36,1294,70
兵    庫,700,10127,91,17,571,38
奈    良,90,2383,9,0,79,2
和 歌 山,63,3540,8,0,52,3
鳥    取,3,1249,2,0,1,0
島    根,24,1003,8,1,16,0
岡    山,25,1560,2,-,23,-
広    島,166,6457,50,1,114,2
山    口,37,1621,3,1,34,0
徳    島,5,673,0,0,4,1
香    川,28,1988,1,0,27,0
愛    媛,73,1695,27,2,43,3
高    知,74,1684,4,0,67,3
福    岡,658,11497,83,8,550,25
佐    賀,47,1320,15,0,30,0
⾧    崎,17,2556,0,0,16,1
熊    本,48,3741,10,1,35,3
大    分,60,3692,3,0,56,1
宮    崎,17,1308,3,0,14,0
鹿 児 島,10,1616,3,0,7,0
沖    縄,142,2735,,4,,6
(その他),149,623,5,-,2,-
合計,16192,216624,3400,213,11867,763
