都道府県名,陽性者数 検査人数,,%
北海道,1014,10770,9.4%
青森,27,802,3.4%
岩手,0,514,0.0%
宮城,88,2575,3.4%
秋田,16,910,1.8%
山形,69,2562,2.7%
福島,81,3170,2.6%
茨城,168,4252,4.0%
栃木,60,2915,2.1%
群馬,147,3308,4.4%
埼玉,991,16277,6.1%
千葉,900,12955,6.9%
東京,5065,14404,35.2%
神奈川,1276,8220,15.5%
新潟,83,3762,2.2%
富山,227,2997,7.7%
石川,287,2501,11.5%
福井,122,2322,5.3%
山梨,57,3337,1.7%
⾧野,76,2433,3.1%
岐阜,150,3065,4.9%
静岡,73,3295,2.2%
愛知,506,9176,5.5%
三重,45,2360,1.9%
滋賀,99,1599,6.2%
京都,358,7092,5.0%
大阪,1771,25983,6.8%
兵庫,700,10127,6.9%
奈良,90,2383,3.8%
和歌山,63,3540,1.8%
鳥取,3,1249,0.2%
島根,24,1003,2.4%
岡山,25,1560,1.6%
広島,166,6457,2.6%
山口,37,1621,2.3%
徳島,5,673,0.7%
香川,28,1988,1.4%
愛媛,73,1695,4.3%
高知,74,1684,4.4%
福岡,658,11497,5.7%
佐賀,47,1320,3.6%
⾧崎,17,2556,0.7%
熊本,48,3741,1.3%
大分,60,3692,1.6%
宮崎,17,1308,1.3%
鹿児島,10,1616,0.6%
沖縄,142,2735,5.2%
⾧崎船,149,623,23.9%
合計,16192,216624,7.5%
