都道府県名,陽性者数 検査人数,,%
北海道,1317,24041,5.5%
青森,30,1178,2.5%
岩手,0,1216,0.0%
宮城,112,4798,2.3%
秋田,16,1032,1.6%
山形,74,2719,2.7%
福島,84,8232,1.0%
茨城,211,6007,3.5%
栃木,107,10106,1.1%
群馬,164,6443,2.5%
埼玉,1617,48560,3.3%
千葉,1223,21977,5.6%
東京,8640,130595,6.6%
神奈川,1876,20112,9.3%
新潟,89,5484,1.6%
富山,230,4524,5.1%
石川,300,2976,10.1%
福井,125,3811,3.3%
山梨,76,6387,1.2%
長野,81,4972,1.6%
岐阜,168,6088,2.8%
静岡,99,9373,1.1%
愛知,538,14633,3.7%
三重,52,3198,1.6%
滋賀,108,3131,3.4%
京都,477,13115,3.6%
大阪,2126,49535,4.3%
兵庫,760,17829,4.3%
奈良,138,5045,2.7%
和歌山,84,4826,1.7%
鳥取,5,2172,0.2%
島根,25,1405,1.8%
岡山,32,2094,1.5%
広島,192,8633,2.2%
山口,38,2828,1.3%
徳島,10,1293,0.8%
香川,42,3287,1.3%
愛媛,82,2704,3.0%
高知,76,2089,3.6%
福岡,937,18558,5.0%
佐賀,47,1747,2.7%
長崎,32,4424,0.7%
熊本,49,4508,1.1%
大分,60,5589,1.1%
宮崎,20,1759,1.1%
鹿児島,162,8023,2.0%
沖縄,149,3414,4.4%
長崎船,149,-,-
合計,23029,516470,4.5%
