都道府県名,陽性者数 検査人数,,%
北海道,1927,52203,3.7%
青森,35,2282,1.5%
岩手,23,3860,0.6%
宮城,351,9508,3.7%
秋田,52,1964,2.6%
山形,78,5026,1.6%
福島,218,18238,1.2%
茨城,623,12026,5.2%
栃木,385,27549,1.4%
群馬,644,18889,3.4%
埼玉,4417,131076,3.4%
千葉,3602,73902,4.9%
東京,24046,411359,5.8%
神奈川,6323,138519,4.6%
新潟,162,14561,1.1%
富山,410,11364,3.6%
石川,750,11545,6.5%
福井,244,9477,2.6%
山梨,180,10263,1.8%
長野,301,17873,1.7%
岐阜,597,21219,2.8%
静岡,517,31367,1.6%
愛知,5039,68206,7.4%
三重,469,11703,4.0%
滋賀,477,11063,4.3%
京都,1659,38110,4.4%
大阪,10001,169292,5.9%
兵庫,2549,51988,4.9%
奈良,552,19076,2.9%
和歌山,236,9005,2.6%
鳥取,36,4910,0.7%
島根,137,5298,2.6%
岡山,148,7861,1.9%
広島,475,19573,2.4%
山口,195,8763,2.2%
徳島,147,6744,2.2%
香川,93,10050,0.9%
愛媛,114,3973,2.9%
高知,137,3390,4.0%
福岡,4996,46307,10.8%
佐賀,245,5662,4.3%
長崎,236,17210,1.4%
熊本,571,16030,3.6%
大分,158,15465,1.0%
宮崎,344,8455,4.1%
鹿児島,376,17562,2.1%
沖縄,2338,35020,6.7%
長崎船,149,0,-
合計,77762,1644786,4.7%
