都道府県名,陽性者数,検査人数,%
北海道,407,3768,10.8%
青森,22,483,4.6%
岩手,0,212,0.0%
宮城,83,1203,6.9%
秋田,16,706,2.3%
山形,60,1415,4.2%
福島,60,924,6.5%
茨城,135,3159,4.3%
栃木,44,1330,3.3%
群馬,120,1970,6.1%
埼玉,610,3836,15.9%
千葉,643,3308,18.1%
東京,2988,7244,41.2%
神奈川,754,3911,17.5%
新潟,56,2024,2.8%
富山,79,1274,6.2%
石川,173,977,17.7%
福井,106,955,11.1%
山梨,48,1435,3.3%
長野,47,1273,3.7%
岐阜,137,1892,7.2%
静岡,50,2011,2.5%
愛知,391,5008,7.8%
三重,35,1144,3.1%
滋賀,70,760,9.2%
京都,242,2565,9.4%
大阪,1164,4383,23.7%
兵庫,502,5070,9.9%
奈良,60,777,7.7%
和歌山,40,2274,1.8%
鳥取,3,543,0.6%
島根,15,649,2.3%
岡山,18,775,2.3%
広島,129,2764,4.7%
山口,30,1027,2.9%
徳島,3,298,1.0%
香川,24,967,2.5%
愛媛,44,708,6.2%
高知,64,1084,5.9%
福岡,500,6442,7.8%
佐賀,16,583,2.7%
長崎,17,1325,1.3%
熊本,35,2208,1.6%
大分,54,2426,2.2%
宮崎,17,841,2.0%
鹿児島,7,734,1.0%
沖縄,101,1030,9.8%
合計,10219,91695,10.9%
