都道府県名,陽性者数 検査人数,,%
北海道,41828,802986,5.2%
青森,2539,52521,4.8%
岩手,1788,89077,2.0%
宮城,9319,161279,5.8%
秋田,939,16159,5.8%
山形,2061,67445,3.1%
福島,5090,290672,1.8%
茨城,10837,33871,32.0%
栃木,7242,312726,2.3%
群馬,8088,199003,4.1%
埼玉,47928,999757,4.8%
千葉,42044,718903,5.8%
東京,181638,2606875,7.0%
神奈川,70316,1072099,6.6%
新潟,3489,177804,2.0%
富山,2058,76215,2.7%
石川,4034,126604,3.2%
福井,1389,72341,1.9%
山梨,2144,62325,3.4%
長野,5060,212206,2.4%
岐阜,9494,278331,3.4%
静岡,9595,418670,2.3%
愛知,51559,854147,6.0%
三重,5345,148938,3.6%
滋賀,5626,158013,3.6%
京都,16813,292101,5.8%
大阪,104849,2254781,4.7%
兵庫,41245,522957,7.9%
奈良,8465,174026,4.9%
和歌山,2710,42534,6.4%
鳥取,495,86135,0.6%
島根,561,32023,1.8%
岡山,7616,168599,4.5%
広島,11575,565038,2.0%
山口,3175,124469,2.6%
徳島,1666,66573,2.5%
香川,2118,88645,2.4%
愛媛,2758,98760,2.8%
高知,1896,11842,16.0%
福岡,35930,856843,4.2%
佐賀,2570,58837,4.4%
長崎,3229,128664,2.5%
熊本,6495,82514,7.9%
大分,3504,174263,2.0%
宮崎,3107,44740,6.9%
鹿児島,3736,113742,3.3%
沖縄,21349,259185,8.2%
長崎船,149,0,-
合計,817461,16256238,5.0%
