都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1199,19327,93,11,1011,95
青   森,27,946,0,0,26,1
岩    手,0,888,0,0,0,0
宮    城,90,3509,2,0,87,1
秋  田,16,984,0,0,16,0
山    形,69,2505,1,1,68,0
福    島,82,6249,2,0,80,0
茨    城,170,5168,5,0,155,10
栃    木,66,6255,1,0,65,0
群    馬,151,4628,2,0,130,19
埼    玉,1054,31321,47,3,942,65
千    葉,929,17374,21,2,863,45
東    京,5840,69832,334,20,5183,323
神 奈 川,1434,12108,57,11,1283,94
新    潟,84,4799,2,0,81,0
富    山,227,3847,0,0,205,22
石    川,300,2873,24,2,249,27
福    井,122,3244,0,0,114,8
山    梨,72,5351,1,0,70,1
長    野,77,3141,2,0,75,-
岐    阜,156,4859,5,1,144,7
静    岡,80,7108,4,0,75,1
愛    知,523,12180,12,0,471,34
三    重,46,2791,1,0,44,1
滋    賀,101,2244,2,1,98,1
京    都,365,9653,5,0,342,18
大    阪,1809,37925,39,5,1684,86
兵    庫,702,14018,6,0,653,43
奈    良,92,3491,0,0,90,2
和 歌 山,64,3904,0,0,60,3
鳥    取,3,1456,0,0,3,0
島    根,24,1219,1,1,23,0
岡    山,25,1870,0,-,25,-
広    島,168,7657,0,0,165,3
山    口,37,2129,0,0,37,0
徳    島,5,848,0,0,4,1
香    川,28,2522,0,0,28,0
愛    媛,82,2575,4,0,74,4
高    知,74,1935,0,0,71,3
福    岡,838,15619,22,2,783,33
佐    賀,47,1600,0,0,47,0
長    崎,17,3136,0,0,16,1
熊    本,49,4178,1,0,45,3
大    分,60,4663,0,0,59,1
宮    崎,17,1525,0,0,17,0
鹿 児 島,11,2494,1,0,10,0
沖    縄,142,3000,0,0,139,7
(その他),149,-,1,-,148,-
合計,17723,360948,698,60,16058,963
