都道府県名,陽性者数 検査人数,,%
北海道,20371,426277,4.8%
青森,896,22887,3.9%
岩手,587,41402,1.4%
宮城,4630,79552,5.8%
秋田,277,7258,3.8%
山形,646,30356,2.1%
福島,2314,134132,1.7%
茨城,6399,25439,25.2%
栃木,4422,164216,2.7%
群馬,4819,105705,4.6%
埼玉,31664,610951,5.2%
千葉,28639,453485,6.3%
東京,117517,1677725,7.0%
神奈川,47085,657502,7.2%
新潟,1274,75965,1.7%
富山,921,39826,2.3%
石川,1894,57623,3.3%
福井,553,34087,1.6%
山梨,955,29599,3.2%
長野,2532,107932,2.3%
岐阜,4827,150950,3.2%
静岡,5493,228845,2.4%
愛知,26681,436037,6.1%
三重,2643,73145,3.6%
滋賀,2693,82402,3.3%
京都,9236,168878,5.5%
大阪,49158,946152,5.2%
兵庫,18859,279750,6.7%
奈良,3511,90358,3.9%
和歌山,1202,25479,4.7%
鳥取,210,44852,0.5%
島根,285,17152,1.7%
岡山,2620,75671,3.5%
広島,5078,173745,2.9%
山口,1397,64978,2.1%
徳島,468,29265,1.6%
香川,779,48698,1.6%
愛媛,1084,36361,3.0%
高知,912,7331,12.4%
福岡,18716,486963,3.8%
佐賀,1162,30738,3.8%
長崎,1616,73577,2.2%
熊本,3485,57577,6.1%
大分,1301,88359,1.5%
宮崎,1953,24807,7.9%
鹿児島,1774,70682,2.5%
沖縄,8751,157712,5.5%
長崎船,149,0,-
合計,454438,8752383,5.2%
