都道府県名,陽性者数 検査人数,,%
北海道,6918,125579,5.5%
青森,280,6349,4.4%
,137,7787,1.8%
宮城,1091,17468,6.2%
秋田,74,3155,2.3%
山形,109,7233,1.5%
福島,476,37642,1.3%
茨城,1252,15503,8.1%
栃木,572,51105,1.1%
群馬,1045,34203,3.1%
埼玉,7614,217782,3.5%
千葉,6388,155169,4.1%
東京,37708,707444,5.3%
神奈川,11344,234414,4.8%
新潟,300,20993,1.4%
富山,445,16124,2.8%
石川,835,20694,4.0%
福井,302,13555,2.2%
山梨,298,12801,2.3%
長野,606,27741,2.2%
岐阜,918,31414,2.9%
静岡,1111,51416,2.2%
,8675,124749,7.0%
三重,721,18271,3.9%
滋賀,735,25071,2.9%
京都,2409,60062,4.0%
大阪,17649,294716,6.0%
,4638,84801,5.5%
奈良,989,29663,3.3%
和歌山,384,12288,3.1%
,53,15395,0.3%
島根,142,6498,2.2%
岡山,498,17220,2.9%
広島,741,31670,2.3%
山口,352,13795,2.6%
徳島,179,7742,2.3%
香川,131,15828,0.8%
愛媛,208,5350,3.9%
高知,146,3718,3.9%
,5543,189891,2.9%
佐賀,293,8850,3.3%
長崎,254,25747,1.0%
熊本,967,22960,4.2%
大分,219,25001,0.9%
宮崎,428,8918,4.8%
鹿児島,592,25683,2.3%
沖縄,3999,67432,5.9%
長崎船,149,0,-
合計,130917,2956890,4.4%
