都道府県名,陽性者数 検査人数,,%
北海道,33976,631984,5.4%
青森,2147,40605,5.3%
岩手,1332,69463,1.9%
宮城,8719,139781,6.2%
秋田,740,12871,5.7%
山形,1852,55306,3.3%
福島,4425,225247,2.0%
茨城,9348,31981,29.2%
栃木,6063,235830,2.6%
群馬,7523,158529,4.7%
埼玉,42659,845715,5.0%
千葉,36243,591310,6.1%
東京,156250,2210765,7.1%
神奈川,59491,891644,6.7%
新潟,3013,133060,2.3%
富山,1675,59309,2.8%
石川,3436,82705,4.2%
福井,1018,57070,1.8%
山梨,1447,38972,3.7%
長野,4583,168365,2.7%
岐阜,8223,225297,3.6%
静岡,7834,334739,2.3%
愛知,43501,647776,6.7%
三重,4684,116606,4.0%
滋賀,4768,121821,3.9%
京都,15256,245346,6.2%
大阪,97464,1718279,5.7%
兵庫,38528,439691,8.8%
奈良,7705,145913,5.3%
和歌山,2560,39066,6.6%
鳥取,448,70298,0.6%
島根,492,24335,2.0%
岡山,6847,108427,6.3%
広島,9222,400161,2.3%
山口,2681,98010,2.7%
徳島,1613,55790,2.9%
香川,1922,73674,2.6%
愛媛,2666,79324,3.4%
高知,1242,8893,14.0%
福岡,32461,714438,4.5%
佐賀,2394,46899,5.1%
長崎,2817,107710,2.6%
熊本,5834,75676,7.7%
大分,3137,138460,2.3%
宮崎,2939,38919,7.6%
鹿児島,3108,96234,3.2%
沖縄,14925,209874,7.1%
長崎船,149,0,-
合計,711360,13062168,5.4%
