都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,33976,631984,6717,49,25765,990
青森,2147,40605,315,5,1804,28
岩手,1332,69463,195,1,1094,43
宮城,8719,139781,320,8,8301,82
秋田,740,12871,109,0,619,12
山形,1852,55306,234,5,1581,37
福島,4425,225247,439,25,3853,133
茨城,9348,31981,542,10,8664,142
栃木,6063,235830,361,9,5628,74
群馬,7523,158529,590,13,6809,124
埼玉,42659,845715,2312,55,39570,777
千葉,36243,591310,1256,24,34321,666
東京,156250,2210765,6198,62,148037,2015
神奈川,59491,891644,2306,69,56316,869
新潟,3013,133060,390,6,2589,34
富山,1675,59309,246,8,1395,34
石川,3436,82705,516,12,2821,98
福井,1018,57070,54,0,930,34
山梨,1447,38972,115,1,1314,19
長野,4583,168365,378,7,4188,76
岐阜,8223,225297,1057,21,7016,150
静岡,7834,334739,824,8,6878,132
愛知,43501,647776,6307,87,36490,704
三重,4684,116606,491,16,4213,101
滋賀,4768,121821,502,10,4191,75
京都,15256,245346,1425,19,13695,200
大阪,97464,1718279,12702,344,81725,2114
兵庫,38528,439691,3353,98,34102,1073
奈良,7705,145913,658,24,6945,102
和歌山,2560,39066,165,43,2319,37
鳥取,448,70298,42,0,395,2
島根,492,24335,95,3,397,0
岡山,6847,108427,1386,30,5045,86
広島,9222,400161,954,18,6954,117
山口,2681,98010,540,10,2084,57
徳島,1613,55790,129,3,1424,60
香川,1922,73674,276,5,1627,24
愛媛,2666,79324,121,4,2474,71
高知,1242,8893,109,3,1113,20
福岡,32461,714438,5355,78,26389,413
佐賀,2394,46899,265,5,2110,18
長崎,2817,107710,289,15,2467,61
熊本,5834,75676,907,27,4837,90
大分,3137,138460,611,5,2489,37
宮崎,2939,38919,306,7,2594,25
鹿児島,3108,96234,404,1,2668,28
沖縄,14925,209874,1899,51,12884,148
(その他),149,-,0,-,149,-
合計,711360,13062168,64765,1304,631273,12232
