都道府県名,陽性者数 検査人数,,%
北海道,1178,18021,6.5%
青森,27,928,2.9%
岩手,0,826,0.0%
宮城,88,3356,2.6%
秋田,16,969,1.7%
山形,69,2487,2.8%
福島,81,5783,1.4%
茨城,168,5082,3.3%
栃木,66,5832,1.1%
群馬,151,4472,3.4%
埼玉,1023,28344,3.6%
千葉,920,16770,5.5%
東京,5633,61112,9.2%
神奈川,1420,11628,12.2%
新潟,83,4657,1.8%
富山,227,3735,6.1%
石川,299,2853,10.5%
福井,122,3105,3.9%
山梨,72,5050,1.4%
長野,76,3045,2.5%
岐阜,155,4476,3.5%
静岡,79,3711,2.1%
愛知,518,11523,4.5%
三重,45,2675,1.7%
滋賀,100,2133,4.7%
京都,363,9255,3.9%
大阪,1790,36124,5.0%
兵庫,699,12023,5.8%
奈良,92,3491,2.6%
和歌山,63,3868,1.6%
鳥取,3,1435,0.2%
島根,24,1206,2.0%
岡山,25,1849,1.4%
広島,168,7515,2.2%
山口,37,1992,1.9%
徳島,5,829,0.6%
香川,28,2421,1.2%
愛媛,82,2544,3.2%
高知,74,1905,3.9%
福岡,827,15144,5.5%
佐賀,47,1575,3.0%
長崎,17,3052,0.6%
熊本,48,4138,1.2%
大分,60,4500,1.3%
宮崎,17,1494,1.1%
鹿児島,11,2341,0.5%
沖縄,142,2976,4.8%
長崎船,149,-,-
合計,17387,334250,5.2%
