都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1178,18021,116,10,970,92
青   森,27,928,0,0,26,1
岩    手,0,826,0,0,0,0
宮    城,88,3356,0,0,87,1
秋  田,16,969,0,0,16,0
山    形,69,2487,1,1,68,0
福    島,81,5783,2,0,79,0
茨    城,168,5082,3,0,155,10
栃    木,66,5832,1,0,65,0
群    馬,151,4472,2,0,130,19
埼    玉,1023,28344,20,3,951,52
千    葉,920,16770,22,3,853,45
東    京,5633,61112,338,20,4978,317
神 奈 川,1420,11628,72,9,1255,93
新    潟,83,4657,1,0,81,0
富    山,227,3735,1,0,204,22
石    川,299,2853,28,2,244,27
福    井,122,3105,0,0,114,8
山    梨,72,5050,2,0,69,1
長    野,76,3045,1,0,75,-
岐    阜,155,4476,5,2,143,7
静    岡,79,3711,4,0,74,1
愛    知,518,11523,8,0,470,34
三    重,45,2675,0,0,44,1
滋    賀,100,2133,1,1,98,1
京    都,363,9255,5,0,340,18
大    阪,1790,36124,27,7,1677,86
兵    庫,699,12023,3,0,653,43
奈    良,92,3491,0,0,90,2
和 歌 山,63,3868,0,0,60,3
鳥    取,3,1435,0,0,3,0
島    根,24,1206,1,1,23,0
岡    山,25,1849,0,-,25,-
広    島,168,7515,0,0,165,3
山    口,37,1992,1,1,36,0
徳    島,5,829,0,0,4,1
香    川,28,2421,0,0,28,0
愛    媛,82,2544,5,0,73,4
高    知,74,1905,0,0,71,3
福    岡,827,15144,40,2,759,28
佐    賀,47,1575,0,0,47,0
長    崎,17,3052,0,0,16,1
熊    本,48,4138,0,0,45,3
大    分,60,4500,0,0,59,1
宮    崎,17,1494,0,0,17,0
鹿 児 島,11,2341,1,0,10,0
沖    縄,142,2976,0,0,139,7
(その他),149,-,1,-,148,-
合計,17387,334250,712,62,15737,935
