都道府県名,陽性者数 検査人数,,%
北海道,10564,179615,5.9%
青森,358,7732,4.6%
岩手,230,10500,2.2%
宮城,1379,20768,6.6%
秋田,90,3746,2.4%
山形,211,8725,2.4%
福島,565,43381,1.3%
茨城,1911,17732,10.8%
栃木,822,59955,1.4%
群馬,1526,40734,3.7%
埼玉,9916,257874,3.8%
千葉,7842,187875,4.2%
東京,45529,832855,5.5%
神奈川,14314,278675,5.1%
新潟,374,23908,1.6%
富山,462,18434,2.5%
石川,888,24224,3.7%
福井,331,16405,2.0%
山梨,437,14053,3.1%
長野,892,35313,2.5%
岐阜,1381,47457,2.9%
静岡,2059,67074,3.1%
愛知,11881,150622,7.9%
三重,1011,22079,4.6%
滋賀,847,30278,2.8%
京都,3022,72905,4.1%
大阪,23835,367365,6.5%
兵庫,6849,108330,6.3%
奈良,1410,37665,3.7%
和歌山,538,14550,3.7%
鳥取,67,19267,0.3%
島根,159,7158,2.2%
岡山,702,20802,3.4%
広島,1249,39067,3.2%
山口,427,22347,1.9%
徳島,187,13733,1.4%
香川,195,19072,1.0%
愛媛,354,8650,4.1%
高知,301,4414,6.8%
福岡,6343,218811,2.9%
佐賀,367,11101,3.3%
長崎,278,29063,1.0%
熊本,1152,27107,4.2%
大分,464,32363,1.4%
宮崎,579,10795,5.4%
鹿児島,741,29617,2.5%
沖縄,4702,78065,6.0%
長崎船,149,0,-
合計,169890,3592261,4.7%
