都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,13972,248977,1607,24,12023,484
青森,537,10782,97,2,432,8
岩手,402,14933,50,4,328,24
宮城,2313,25382,300,7,1997,16
秋田,159,4876,36,0,122,1
山形,417,10710,68,5,340,9
福島,1073,60960,264,8,783,26
茨城,2730,19218,404,8,2287,39
栃木,1974,77151,774,10,1200,7
群馬,2552,56541,353,11,2151,48
埼玉,15939,339325,3707,63,12003,229
千葉,12449,238660,2869,23,9452,128
東京,66343,1045327,12431,113,53256,656
神奈川,24101,370679,3558,91,20247,296
新潟,602,29052,122,1,480,3
富山,605,23199,60,2,519,26
石川,1151,31276,148,6,962,51
福井,376,20310,30,1,333,12
山梨,622,14675,88,2,523,11
長野,1354,54168,219,3,1112,18
岐阜,2694,71564,628,13,2024,42
静岡,2926,103350,552,7,2330,44
愛知,17515,231862,2510,38,14766,239
三重,1402,30675,193,5,1189,20
滋賀,1371,39877,307,8,1050,14
京都,5256,98825,1136,16,4103,64
大阪,32012,491431,4433,166,26950,629
兵庫,10670,147765,1041,54,9386,243
奈良,2184,52687,351,10,1807,26
和歌山,696,17035,92,1,585,8
鳥取,149,26013,73,2,74,0
島根,216,9344,20,1,196,0
岡山,1583,31723,292,8,1032,15
広島,3662,75233,677,12,2635,49
山口,640,32146,117,3,516,3
徳島,216,15862,22,0,185,9
香川,337,26310,90,1,244,3
愛媛,541,14011,125,4,403,13
高知,700,6048,75,5,615,10
福岡,9980,278115,1975,22,7882,123
佐賀,521,15796,78,1,448,3
長崎,812,42170,249,9,488,6
熊本,2036,38126,208,12,1620,22
大分,772,46653,155,4,611,6
宮崎,996,14118,286,2,710,9
鹿児島,1094,41836,163,2,931,14
沖縄,5611,92903,390,6,5142,84
(その他),149,-,0,-,149,-
合計,256412,4787679,43423,796,208621,3790
