,2020-03-22,対前日比,うち現在は入院等,,うち退院,,うち死亡,
北海道,161,3,72,45%,83,52%,6,4%
愛知県,134,2,111,83%,8,6%,16,12%
東京都,132,2,103,78%,25,19%,4,3%
大阪府,113,5,85,75%,26,23%,2,2%
兵庫県,83,2,76,92%,2,2%,6,7%
神奈川県,67,6,49,73%,14,21%,4,6%
埼玉県,45,4,34,76%,10,22%,1,2%
千葉県,42,2,27,64%,15,36%,0,0%
新潟県,22,0,19,86%,3,14%,0,0%
京都府,20,1,13,65%,7,35%,0,0%
大分県,15,4,14,93%,1,7%,0,0%
和歌山県,15,0,5,33%,9,60%,1,7%
高知県,11,0,0,0%,11,100%,0,0%
群馬県,11,0,10,91%,0,0%,1,9%
熊本県,6,0,5,83%,1,17%,0,0%
石川県,6,0,3,50%,3,50%,0,0%
三重県,6,0,4,67%,2,33%,0,0%
岐阜県,5,2,4,80%,1,20%,0,0%
奈良県,5,1,3,60%,2,40%,0,0%
福岡県,5,0,3,60%,2,40%,0,0%
栃木県,4,0,2,50%,2,50%,0,0%
滋賀県,4,0,4,100%,0,0%,0,0%
広島県,3,1,2,67%,1,33%,0,0%
沖縄県,3,0,1,33%,2,67%,0,0%
長野県,3,0,2,67%,1,33%,0,0%
静岡県,3,0,2,67%,1,33%,0,0%
宮崎県,3,0,3,100%,0,0%,0,0%
茨城県,3,0,3,100%,0,0%,0,0%
山口県,2,1,2,100%,0,0%,0,0%
山梨県,2,0,1,50%,1,50%,0,0%
愛媛県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
岡山県,1,1,1,100%,0,0%,0,0%
秋田県,1,0,0,0%,1,100%,0,0%
宮城県,1,0,0,0%,1,100%,0,0%
福井県,1,0,1,100%,0,0%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
総計,944,37,669,71%,236,25%,41,4%
