都道府県名,陽性者数,検査人数,備考
北海道,162,1652,
青森県,0,90,
岩手県,0,29,
宮城県,1,150,
秋田県,2,114,
山形県,0,133,
福島県,2,132,
茨城県,3,464,
栃木県,4,263,
群馬県,11,174,
埼玉県,50,684,
千葉県,44,,
東京都,144,1848,
神奈川県,74,,
新潟県,26,648,
富山県,0,55,
石川県,8,179,
福井県,1,98,
山梨県,2,338,
長野県,4,306,
岐阜県,5,281,
静岡県,3,,
愛知県,143,847,
三重県,9,318,
滋賀県,4,144,
京都府,23,815,
大阪府,131,2047,
兵庫県,110,1127,
奈良県,9,187,
和歌山県,17,1118,
鳥取県,0,115,
島根県,0,95,
岡山県,1,181,
広島県,3,609,
山口県,4,170,
徳島県,1,83,
香川県,1,147,
愛媛県,3,181,
高知県,12,279,
福岡県,5,642,
佐賀県,1,103,
長崎県,1,213,
熊本県,7,490,
大分県,17,175,
宮崎県,3,189,
鹿児島県,0,171,
沖縄県,3,238,
合計,1054,18322,
