都道府県名,陽性者数 検査人数,,%
北海道,1455,30013,4.8%
青森,32,1463,2.2%
岩手,4,1616,0.2%
宮城,168,6125,2.7%
秋田,18,1168,1.5%
山形,76,2924,2.6%
福島,89,10114,0.9%
茨城,327,7509,4.4%
栃木,202,14138,1.4%
群馬,194,8406,2.3%
埼玉,2510,69560,3.6%
千葉,1823,29417,6.2%
東京,13713,199758,6.9%
神奈川,2663,18625,14.3%
新潟,119,6713,1.8%
富山,248,5509,4.5%
石川,323,3323,9.7%
福井,142,5005,2.8%
山梨,103,7435,1.4%
長野,119,7992,1.5%
岐阜,362,10950,3.3%
静岡,309,14199,2.2%
愛知,2143,25979,8.2%
三重,124,4624,2.7%
滋賀,202,4542,4.4%
京都,826,19088,4.3%
大阪,4527,77782,5.8%
兵庫,1312,27807,4.7%
奈良,272,8733,3.1%
和歌山,169,6401,2.6%
鳥取,18,3218,0.6%
島根,29,2973,1.0%
岡山,91,3122,2.9%
広島,357,12799,2.8%
山口,58,4091,1.4%
徳島,28,2056,1.4%
香川,46,4782,1.0%
愛媛,99,3076,3.2%
高知,82,2298,3.6%
福岡,2192,26370,8.3%
佐賀,102,2609,3.9%
長崎,117,7539,1.6%
熊本,243,6388,3.8%
大分,68,6956,1.0%
宮崎,157,5088,3.1%
鹿児島,256,10999,2.3%
沖縄,554,9200,6.0%
長崎船,149,-,-
合計,39220,750482,5.2%
