都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1884,50149,61,2,1717,106
青 森,35,2227,2,0,32,1
岩手,23,3745,1,0,22,0
宮城,313,8995,74,0,237,2
秋  田,51,1868,1,0,50,0
山形,78,5006,2,1,76,1
福島,214,17489,45,1,169,0
茨城,616,11796,50,5,550,16
栃木,368,25993,47,2,304,1
群馬,567,17931,89,1,445,19
埼玉,4320,127974,304,7,3919,97
千葉,3446,68574,300,7,3079,67
東京,23274,392220,2285,21,20603,386
神奈川,6012,132257,597,32,5285,130
新潟,151,14070,10,1,141,0
富山,408,11173,13,0,370,25
石川,736,11006,72,0,621,43
福井,244,9284,24,4,210,8
山梨,179,10135,9,2,165,5
長野,297,17391,17,0,285,1
岐阜,596,20367,38,1,548,10
静岡,506,30514,17,1,488,1
愛知,4920,64208,392,19,4452,76
三重,463,11312,84,1,374,5
滋賀,472,10726,33,0,432,7
京都,1628,36834,82,1,1521,25
大阪,9725,161832,830,35,8700,186
兵庫,2478,50254,124,9,2299,55
奈良,550,18672,21,1,520,9
和歌山,236,8934,4,0,225,4
鳥取,34,4781,12,0,22,0
島根,137,5236,0,0,137,0
岡山,147,7511,1,-,145,-
広島,472,19041,13,0,456,3
山口,194,8359,25,1,168,1
徳島,147,6662,39,1,97,8
香川,92,9636,12,0,78,2
愛媛,114,3945,1,0,107,6
高知,137,3319,7,0,126,4
福岡,4948,44991,355,13,4513,80
佐賀,244,5567,4,0,240,0
長崎,236,16671,8,0,225,3
熊本,570,13039,36,0,523,8
大分,158,14821,8,0,148,2
宮崎,343,8383,8,0,335,1
鹿児島,373,17314,7,1,372,11
沖縄,2297,33812,182,8,2074,45
(その他),149,-,0,-,149,-
合計,75582,1576024,6346,178,67754,1460
