都道府県名,陽性者数 検査人数,,%
北海道,1944,52889,3.7%
青森,35,2282,1.5%
岩手,23,3860,0.6%
宮城,365,9688,3.8%
秋田,53,1964,2.7%
山形,78,5035,1.5%
福島,221,18347,1.2%
茨城,624,12026,5.2%
栃木,387,27769,1.4%
群馬,663,18946,3.5%
埼玉,4433,131233,3.4%
千葉,3637,74434,4.9%
東京,24208,411359,5.9%
神奈川,6383,138519,4.6%
新潟,165,14589,1.1%
富山,410,11364,3.6%
石川,754,11545,6.5%
福井,244,9491,2.6%
山梨,180,10263,1.8%
長野,301,17873,1.7%
岐阜,597,21233,2.8%
静岡,517,31367,1.6%
愛知,5070,68983,7.3%
三重,470,11810,4.0%
滋賀,478,11177,4.3%
京都,1659,38110,4.4%
大阪,10060,170193,5.9%
兵庫,2570,52326,4.9%
奈良,554,19076,2.9%
和歌山,236,9019,2.6%
鳥取,36,5218,0.7%
島根,137,5302,2.6%
岡山,148,7861,1.9%
広島,475,19573,2.4%
山口,195,8829,2.2%
徳島,147,6765,2.2%
香川,93,10074,0.9%
愛媛,114,3973,2.9%
高知,137,3400,4.0%
福岡,5003,46542,10.7%
佐賀,244,5686,4.3%
長崎,236,17268,1.4%
熊本,571,16066,3.6%
大分,158,15504,1.0%
宮崎,344,8455,4.1%
鹿児島,376,17562,2.1%
沖縄,2352,36091,6.5%
長崎船,149,0,-
合計,78234,1650939,4.7%
