都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1944,52889,85,1,1753,106
青 森,35,2282,2,0,32,1
岩手,23,3860,0,0,23,0
宮城,365,9688,91,1,272,2
秋  田,53,1964,2,0,51,0
山形,78,5035,2,1,76,1
福島,221,18347,35,1,184,2
茨城,624,12026,35,5,573,16
栃木,387,27769,61,1,314,1
群馬,663,18946,139,0,505,19
埼玉,4433,131233,289,6,4044,100
千葉,3637,74434,353,6,3216,68
東京,24208,411359,2346,27,21472,390
神奈川,6383,138519,635,24,5613,135
新潟,165,14589,21,1,144,0
富山,410,11364,5,0,380,25
石川,754,11545,64,0,646,44
福井,244,9491,13,3,220,9
山梨,180,10263,7,2,168,5
長野,301,17873,9,0,297,1
岐阜,597,21233,30,1,557,10
静岡,517,31367,22,1,494,1
愛知,5070,68983,393,15,4598,79
三重,470,11810,76,4,389,5
滋賀,478,11177,21,0,450,7
京都,1659,38110,80,1,1554,25
大阪,10060,170193,712,29,9147,192
兵庫,2570,52326,132,10,2382,56
奈良,554,19076,16,1,529,9
和歌山,236,9019,2,0,227,4
鳥取,36,5218,13,0,23,0
島根,137,5302,0,0,137,0
岡山,148,7861,1,-,146,-
広島,475,19573,9,0,463,3
山口,195,8829,20,1,174,1
徳島,147,6765,28,0,107,9
香川,93,10074,9,0,82,2
愛媛,114,3973,0,0,108,6
高知,137,3400,3,0,130,4
福岡,5003,46542,185,11,4728,90
佐賀,244,5686,2,0,244,0
長崎,236,17268,3,0,227,3
熊本,571,16066,18,0,545,8
大分,158,15504,5,0,151,2
宮崎,344,8455,4,0,340,1
鹿児島,376,17562,8,0,368,12
沖縄,2352,36091,146,10,2165,45
(その他),149,-,0,-,149,-
合計,78234,1650939,6132,163,70597,1499
