都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,12062,209646,1886,34,9856,381
青森,390,8660,39,2,345,6
岩手,330,12936,113,2,201,16
宮城,1707,23482,372,4,1323,12
秋田,95,3878,4,0,90,1
山形,302,9487,108,2,192,2
福島,697,49033,142,5,545,10
茨城,2117,18137,271,11,1812,34
栃木,1002,65415,257,11,745,3
群馬,1897,46260,396,6,1471,30
埼玉,11514,280656,2128,39,9209,177
千葉,8936,203597,1197,16,7633,106
東京,50890,901556,6125,62,44199,566
神奈川,16613,311376,1880,51,14498,235
新潟,435,25657,66,0,369,3
富山,487,19756,24,1,437,26
石川,954,26803,74,0,833,50
福井,337,17465,13,2,313,11
山梨,467,14278,35,1,422,10
⾧野,1033,40462,138,7,855,9
岐阜,1718,56223,380,4,1315,23
静岡,2354,74303,601,11,1725,28
愛知,13737,170726,2224,34,11357,156
三重,1131,26913,146,4,970,15
滋賀,918,33083,76,1,831,11
京都,3559,79776,609,8,2922,43
大阪,26787,410181,3670,158,22628,473
兵庫,7973,121583,843,42,7000,130
奈良,1628,41712,232,9,1380,16
和歌山,573,15681,32,6,523,7
鳥取,68,21073,7,1,60,0
島根,179,8556,18,1,161,0
岡山,971,27231,204,3,642,12
広島,2108,56843,295,10,1149,13
山口,458,24734,53,5,399,2
徳島,189,14249,3,0,178,9
香川,206,20498,24,0,179,3
愛媛,374,10840,47,3,317,10
高知,478,5222,163,0,310,5
福岡,7135,238294,908,14,6116,111
佐賀,409,13199,51,1,360,3
⾧崎,352,32305,70,2,277,3
熊本,1382,29520,166,5,1097,13
大分,566,37141,110,5,452,4
宮崎,658,11569,85,2,573,4
鹿児島,868,33826,157,1,711,13
沖縄,4946,83408,301,7,4573,77
(その他),149,-,0,-,149,-
合計,194139,3987229,26743,593,163702,2872
