都道府県名,陽性者数 検査人数,,%
北海道,1671,37786,4.4%
青森,33,1870,1.8%
岩手,11,2467,0.4%
宮城,189,7325,2.6%
秋田,45,1652,2.7%
山形,77,3032,2.5%
福島,122,12773,1.0%
茨城,490,9791,5.0%
栃木,286,19611,1.5%
群馬,361,11729,3.1%
埼玉,3465,96826,3.6%
千葉,2695,48681,5.5%
東京,18865,281346,6.7%
神奈川,4269,100213,4.3%
新潟,137,11641,1.2%
富山,336,6984,4.8%
石川,532,6078,8.8%
福井,156,6176,2.5%
山梨,162,9028,1.8%
長野,163,11885,1.4%
岐阜,533,16372,3.3%
静岡,433,21516,2.0%
愛知,3978,43307,9.2%
三重,318,8367,3.8%
滋賀,373,7555,4.9%
京都,1243,26619,4.7%
大阪,7586,116195,6.5%
兵庫,2033,38650,5.3%
奈良,472,12714,3.7%
和歌山,223,7862,2.8%
鳥取,22,4434,0.5%
島根,134,4500,3.0%
岡山,133,3950,3.4%
広島,438,16687,2.6%
山口,100,5538,1.8%
徳島,104,4644,2.2%
香川,71,7001,1.0%
愛媛,112,3644,3.1%
高知,106,2694,3.9%
福岡,3900,36617,10.7%
佐賀,214,4278,5.0%
長崎,192,12052,1.6%
熊本,442,9668,4.6%
大分,137,10655,1.3%
宮崎,303,7335,4.1%
鹿児島,340,14082,2.4%
沖縄,1834,20148,9.1%
長崎船,149,0,-
合計,59988,1153978,5.2%
