都道府県名,陽性者数 検査人数,,%
北海道,1903,51131,3.7%
青森,35,2258,1.6%
岩手,23,3844,0.6%
宮城,337,9237,3.6%
秋田,51,1964,2.6%
山形,78,5019,1.6%
福島,218,17984,1.2%
茨城,621,11994,5.2%
栃木,375,26582,1.4%
群馬,602,18397,3.3%
埼玉,4370,129795,3.4%
千葉,3516,72369,4.9%
東京,23608,403693,5.8%
神奈川,6177,136304,4.5%
新潟,158,14340,1.1%
富山,408,11350,3.6%
石川,742,11383,6.5%
福井,244,9361,2.6%
山梨,180,10215,1.8%
長野,299,17768,1.7%
岐阜,596,20881,2.9%
静岡,512,30918,1.7%
愛知,4963,66654,7.4%
三重,466,11609,4.0%
滋賀,475,10875,4.4%
京都,1650,37666,4.4%
大阪,9860,165431,6.0%
兵庫,2521,51144,4.9%
奈良,551,18962,2.9%
和歌山,236,8962,2.6%
鳥取,35,4862,0.7%
島根,137,5270,2.6%
岡山,147,7861,1.9%
広島,474,19437,2.4%
山口,195,8645,2.3%
徳島,147,6707,2.2%
香川,92,9956,0.9%
愛媛,114,3966,2.9%
高知,137,3352,4.1%
福岡,4970,45452,10.9%
佐賀,244,5614,4.3%
長崎,236,16972,1.4%
熊本,570,15908,3.6%
大分,158,15145,1.0%
宮崎,344,8441,4.1%
鹿児島,376,17489,2.1%
沖縄,2310,34484,6.7%
長崎船,149,0,-
合計,76610,1617651,4.7%
