都道府県名,陽性者数 検査人数,,%
北海道,10982,187131,5.9%
青森,371,7999,4.6%
岩手,295,10849,2.7%
宮城,1462,21379,6.8%
秋田,92,3746,2.5%
山形,240,9006,2.7%
福島,599,44921,1.3%
茨城,1973,17774,11.1%
栃木,860,61643,1.4%
群馬,1612,42655,3.8%
埼玉,10297,261321,3.9%
千葉,8078,190090,4.2%
東京,46745,847224,5.5%
神奈川,14822,281819,5.3%
新潟,390,24380,1.6%
富山,464,18804,2.5%
石川,907,24908,3.6%
福井,331,16582,2.0%
山梨,440,14073,3.1%
長野,941,35844,2.6%
岐阜,1461,50260,2.9%
静岡,2087,67934,3.1%
愛知,12319,152984,8.1%
三重,1042,24205,4.3%
滋賀,857,30905,2.8%
京都,3076,73836,4.2%
大阪,24621,376794,6.5%
兵庫,7091,111465,6.4%
奈良,1465,38382,3.8%
和歌山,551,14814,3.7%
鳥取,67,19468,0.3%
島根,165,7659,2.2%
岡山,702,24136,2.9%
広島,1436,43500,3.3%
山口,433,22347,1.9%
徳島,187,13839,1.4%
香川,199,19231,1.0%
愛媛,358,9691,3.7%
高知,339,4577,7.4%
福岡,6551,223229,2.9%
佐賀,378,11599,3.3%
長崎,290,29630,1.0%
熊本,1210,27774,4.4%
大分,508,33687,1.5%
宮崎,584,10923,5.3%
鹿児島,796,30031,2.7%
沖縄,4785,79250,6.0%
長崎船,149,0,-
合計,175608,3674298,4.8%
