都道府県名,陽性者数 検査人数,,%
北海道,41427,785750,5.3%
青森,2518,51210,4.9%
岩手,1707,86754,2.0%
宮城,9175,158239,5.8%
秋田,904,15564,5.8%
山形,2027,66016,3.1%
福島,4940,283197,1.7%
茨城,10621,33467,31.7%
栃木,7109,305040,2.3%
群馬,8048,194942,4.1%
埼玉,46820,977145,4.8%
千葉,40748,697549,5.8%
東京,175983,2543617,6.9%
神奈川,68086,1047212,6.5%
新潟,3414,173266,2.0%
富山,2042,74335,2.7%
石川,3949,123955,3.2%
福井,1324,69659,1.9%
山梨,2106,58651,3.6%
長野,5039,208048,2.4%
岐阜,9458,272853,3.5%
静岡,9385,407868,2.3%
愛知,51116,835239,6.1%
三重,5275,145510,3.6%
滋賀,5567,153219,3.6%
京都,16643,286039,5.8%
大阪,103762,2177953,4.8%
兵庫,40983,511329,8.0%
奈良,8373,170318,4.9%
和歌山,2693,42094,6.4%
鳥取,488,83971,0.6%
島根,553,31436,1.8%
岡山,7595,165308,4.6%
広島,11519,553751,2.1%
山口,3157,122050,2.6%
徳島,1657,65349,2.5%
香川,2099,86761,2.4%
愛媛,2755,97158,2.8%
高知,1844,11536,16.0%
福岡,35611,838413,4.2%
佐賀,2565,57494,4.5%
長崎,3212,126066,2.5%
熊本,6486,82304,7.9%
大分,3494,170389,2.1%
宮崎,3099,44507,7.0%
鹿児島,3695,111848,3.3%
沖縄,20983,253501,8.3%
長崎船,149,0,-
合計,802203,15857880,5.1%
