都道府県名,陽性者数 検査人数,,%
北海道,17342,317376,5.5%
青森,711,13109,5.4%
岩手,496,19948,2.5%
宮城,3384,48324,7.0%
秋田,260,6370,4.1%
山形,500,14104,3.5%
福島,1718,84423,2.0%
茨城,4755,23081,20.6%
栃木,3755,104961,3.6%
群馬,3806,74179,5.1%
埼玉,24948,448739,5.6%
千葉,22104,325923,6.8%
東京,99208,1309999,7.6%
神奈川,40374,491045,8.2%
新潟,904,36820,2.5%
富山,868,30685,2.8%
石川,1455,40394,3.6%
福井,510,26805,1.9%
山梨,898,14741,6.1%
⾧野,2280,80987,2.8%
岐阜,4197,104356,4.0%
静岡,4566,142180,3.2%
愛知,23775,309425,7.7%
三重,2174,46585,4.7%
滋賀,2115,55558,3.8%
京都,8200,127431,6.4%
大阪,43508,646657,6.7%
兵庫,16220,200149,8.1%
奈良,3009,67562,4.5%
和歌山,1054,21447,4.9%
鳥取,198,33712,0.6%
島根,265,12166,2.2%
岡山,2329,51686,4.5%
広島,4763,120841,3.9%
山口,1218,45815,2.7%
徳島,384,21315,1.8%
香川,635,37278,1.7%
愛媛,993,25514,3.9%
高知,846,6856,12.3%
福岡,15895,367574,4.3%
佐賀,946,23763,4.0%
⾧崎,1474,56522,2.6%
熊本,3331,51460,6.5%
大分,1145,63091,1.8%
宮崎,1808,22673,8.0%
鹿児島,1598,54720,2.9%
沖縄,7511,124179,6.0%
⾧崎船,149,0,-
合計,384582,6352528,6.1%
