都道府県名,陽性者数 検査人数,,%
北海道,2217,60281,3.7%
青森,37,2518,1.5%
,24,4407,0.5%
宮城,433,10976,3.9%
秋田,58,2250,2.6%
山形,78,5225,1.5%
福島,272,21225,1.3%
茨城,681,12699,5.4%
栃木,442,32382,1.4%
群馬,733,23493,3.1%
埼玉,4840,148915,3.3%
千葉,4110,99323,4.1%
東京,26727,483688,5.5%
神奈川,7212,160797,4.5%
新潟,170,15839,1.1%
富山,422,12816,3.3%
石川,778,13778,5.6%
福井,246,9923,2.5%
山梨,195,10846,1.8%
長野,313,19595,1.6%
岐阜,631,23549,2.7%
静岡,558,36458,1.5%
,5449,80350,6.8%
三重,530,13479,3.9%
滋賀,507,12368,4.1%
京都,1791,44457,4.0%
大阪,10899,193368,5.6%
,2804,58696,4.8%
奈良,581,21517,2.7%
和歌山,242,9395,2.6%
鳥取,36,5505,0.7%
島根,140,5858,2.4%
岡山,161,8654,1.9%
広島,605,21475,2.8%
山口,204,10197,2.0%
徳島,149,7018,2.1%
香川,93,11167,0.8%
愛媛,115,4138,2.8%
高知,138,3513,3.9%
,5057,138184,3.7%
佐賀,246,6199,4.0%
長崎,238,19226,1.2%
熊本,639,16954,3.8%
大分,158,17483,0.9%
宮崎,344,8635,4.0%
鹿児島,440,19713,2.2%
沖縄,2629,41446,6.3%
長崎船,149,0,-
合計,85521,1989978,4.3%
