都道府県名,陽性者数,検査人数,備考
北海道,152,1462,
青森県,0,72,
岩手県,0,24,
宮城県,1,129,
秋田県,2,103,
山形県,0,112,
福島県,2,116,
茨城県,0,419,
栃木県,2,221,
群馬県,6,234,
埼玉県,28,584,
千葉県,31,979,
東京都,96,1524,
神奈川県,54,,
新潟県,14,,
富山県,0,48,
石川県,7,156,
福井県,0,79,
山梨県,2,294,
長野県,4,280,
岐阜県,2,249,
静岡県,3,,
愛知県,123,847,
三重県,8,257,
滋賀県,3,107,
京都府,17,741,
大阪府,109,,
兵庫県,81,874,
奈良県,8,143,
和歌山県,15,1040,
鳥取県,0,95,
島根県,0,82,
岡山県,0,160,
広島県,1,463,
山口県,3,138,
徳島県,1,73,
香川県,0,102,
愛媛県,2,166,
高知県,12,246,
福岡県,3,578,
佐賀県,1,82,
長崎県,1,173,
熊本県,6,393,
大分県,1,153,
宮崎県,1,114,
鹿児島県,0,,
沖縄県,3,210,
合計,805,14322,
