都道府県名,陽性者数 検査人数,,%
北海道,1192,18834,6.3%
青森,27,941,2.9%
岩手,0,837,0.0%
宮城,89,3422,2.6%
秋田,16,979,1.6%
山形,69,2498,2.8%
福島,82,6076,1.3%
茨城,170,5125,3.3%
栃木,66,6095,1.1%
群馬,151,4594,3.3%
埼玉,1031,29928,3.4%
千葉,924,17122,5.4%
東京,5748,65496,8.8%
神奈川,1428,11826,12.1%
新潟,84,4711,1.8%
富山,227,3787,6.0%
石川,299,2863,10.4%
福井,122,3202,3.8%
山梨,72,5175,1.4%
長野,77,3105,2.5%
岐阜,156,4698,3.3%
静岡,80,3749,2.1%
愛知,521,11750,4.4%
三重,46,2705,1.7%
滋賀,101,2212,4.6%
京都,363,9418,3.9%
大阪,1806,37550,4.8%
兵庫,700,13886,5.0%
奈良,92,3491,2.6%
和歌山,63,3891,1.6%
鳥取,3,1445,0.2%
島根,24,1210,2.0%
岡山,25,1863,1.3%
広島,168,7568,2.2%
山口,37,2051,1.8%
徳島,5,844,0.6%
香川,28,2511,1.1%
愛媛,82,2558,3.2%
高知,74,1919,3.9%
福岡,838,15427,5.4%
佐賀,47,1592,3.0%
長崎,17,3104,0.5%
熊本,48,4164,1.2%
大分,60,4583,1.3%
宮崎,17,1509,1.1%
鹿児島,11,2423,0.5%
沖縄,142,2986,4.8%
長崎船,149,-,-
合計,17577,347723,5.1%
